时间,滚动市盈率(TTM):沪深300指数
2005-04-08,15.605
2005-04-09,15.6104
2005-04-10,15.6104
2005-04-11,15.4991
2005-04-12,15.1283
2005-04-13,15.5734
2005-04-14,15.4431
2005-04-15,15.2404
2005-04-16,15.6135
2005-04-17,15.6135
2005-04-18,15.437
2005-04-19,15.4075
2005-04-20,15.2125
2005-04-21,15.119
2005-04-22,15.176
2005-04-23,15.134
2005-04-24,15.134
2005-04-25,15.0268
2005-04-26,15.1991
2005-04-27,15.0277
2005-04-28,15.3708
2005-04-29,15.1673
2005-04-30,15.0534
2005-05-01,15.0534
2005-05-02,15.0534
2005-05-03,15.0534
2005-05-04,15.0534
2005-05-05,15.0534
2005-05-06,15.0534
2005-05-07,15.0534
2005-05-08,15.0534
2005-05-09,14.8723
2005-05-10,14.9741
2005-05-11,14.7901
2005-05-12,14.4558
2005-05-13,14.4681
2005-05-14,14.4681
2005-05-15,14.4681
2005-05-16,14.2792
2005-05-17,14.2793
2005-05-18,14.2861
2005-05-19,14.2835
2005-05-20,14.2466
2005-05-21,14.2466
2005-05-22,14.2466
2005-05-23,13.8966
2005-05-24,13.8738
2005-05-25,13.8419
2005-05-26,13.6673
2005-05-27,13.5729
2005-05-28,13.5729
2005-05-29,13.5729
2005-05-30,13.6742
2005-05-31,13.6865
2005-06-01,13.3818
2005-06-02,13.0686
2005-06-03,13.0292
2005-06-04,13.0292
2005-06-05,13.0292
2005-06-06,13.3368
2005-06-07,13.2589
2005-06-08,14.3771
2005-06-09,14.5745
2005-06-10,14.2463
2005-06-11,14.2463
2005-06-12,14.2463
2005-06-13,14.2115
2005-06-14,14.0829
2005-06-15,13.8266
2005-06-16,13.9938
2005-06-17,13.9793
2005-06-18,13.9793
2005-06-19,13.9793
2005-06-20,14.3782
2005-06-21,14.1667
2005-06-22,14.1629
2005-06-23,14.0799
2005-06-24,14.1925
2005-06-25,14.1925
2005-06-26,14.1925
2005-06-27,14.4613
2005-06-28,14.2512
2005-06-29,14.1638
2005-06-30,13.8452
2005-07-01,13.3318
2005-07-02,13.3328
2005-07-03,13.3328
2005-07-04,13.2809
2005-07-05,13.1585
2005-07-06,13.0768
2005-07-07,13.1432
2005-07-08,12.9259
2005-07-09,12.9259
2005-07-10,12.9259
2005-07-11,12.8536
2005-07-12,13.2743
2005-07-13,13.1773
2005-07-14,13.2284
2005-07-15,13.0905
2005-07-16,13.0905
2005-07-17,13.0905
2005-07-18,12.9792
2005-07-19,12.9834
2005-07-20,13.0842
2005-07-21,13.1065
2005-07-22,13.4166
2005-07-23,13.4202
2005-07-24,13.4202
2005-07-25,13.3892
2005-07-26,13.7444
2005-07-27,13.9538
2005-07-28,13.9042
2005-07-29,13.8051
2005-07-30,13.804
2005-07-31,13.804
2005-08-01,13.8697
2005-08-02,14.1112
2005-08-03,14.1595
2005-08-04,14.1024
2005-08-05,14.4079
2005-08-06,14.4089
2005-08-07,14.4089
2005-08-08,14.5068
2005-08-09,14.6233
2005-08-10,14.7545
2005-08-11,14.9721
2005-08-12,14.7301
2005-08-13,14.7475
2005-08-14,14.7475
2005-08-15,14.8926
2005-08-16,14.5907
2005-08-17,14.7075
