时间,市净率:沪深300指数
2005-04-08,2.0622
2005-04-09,2.0618
2005-04-10,2.0618
2005-04-11,2.0377
2005-04-12,2.0008
2005-04-13,2.0453
2005-04-14,2.0256
2005-04-15,1.9993
2005-04-16,2.0041
2005-04-17,2.0041
2005-04-18,1.9738
2005-04-19,1.9715
2005-04-20,1.9448
2005-04-21,1.9328
2005-04-22,1.9284
2005-04-23,1.9238
2005-04-24,1.9238
2005-04-25,1.908
2005-04-26,1.908
2005-04-27,1.8828
2005-04-28,1.9097
2005-04-29,1.875
2005-04-30,1.8662
2005-05-01,1.8662
2005-05-02,1.8662
2005-05-03,1.8662
2005-05-04,1.8662
2005-05-05,1.8662
2005-05-06,1.8662
2005-05-07,1.8662
2005-05-08,1.8662
2005-05-09,1.8084
2005-05-10,1.8208
2005-05-11,1.7991
2005-05-12,1.7593
2005-05-13,1.7608
2005-05-14,1.7608
2005-05-15,1.7608
2005-05-16,1.7381
2005-05-17,1.7386
2005-05-18,1.7406
2005-05-19,1.7417
2005-05-20,1.7381
2005-05-21,1.7381
2005-05-22,1.7381
2005-05-23,1.6994
2005-05-24,1.6988
2005-05-25,1.6949
2005-05-26,1.6737
2005-05-27,1.6634
2005-05-28,1.6634
2005-05-29,1.6634
2005-05-30,1.6761
2005-05-31,1.6777
2005-06-01,1.6404
2005-06-02,1.6025
2005-06-03,1.5984
2005-06-04,1.5984
2005-06-05,1.5984
2005-06-06,1.6448
2005-06-07,1.6357
2005-06-08,1.7737
2005-06-09,1.7984
2005-06-10,1.758
2005-06-11,1.758
2005-06-12,1.758
2005-06-13,1.7621
2005-06-14,1.7466
2005-06-15,1.7156
2005-06-16,1.7391
2005-06-17,1.7378
2005-06-18,1.7378
2005-06-19,1.7378
2005-06-20,1.7889
2005-06-21,1.7638
2005-06-22,1.7693
2005-06-23,1.7606
2005-06-24,1.7767
2005-06-25,1.7767
2005-06-26,1.7767
2005-06-27,1.8103
2005-06-28,1.7848
2005-06-29,1.7746
2005-06-30,1.7353
2005-07-01,1.7172
2005-07-02,1.7173
2005-07-03,1.7173
2005-07-04,1.7106
2005-07-05,1.6949
2005-07-06,1.6843
2005-07-07,1.6929
2005-07-08,1.6648
2005-07-09,1.6648
2005-07-10,1.6648
2005-07-11,1.6555
2005-07-12,1.7105
2005-07-13,1.698
2005-07-14,1.7046
2005-07-15,1.6888
2005-07-16,1.6888
2005-07-17,1.6888
2005-07-18,1.6745
2005-07-19,1.6748
2005-07-20,1.6876
2005-07-21,1.6894
2005-07-22,1.7297
2005-07-23,1.7297
2005-07-24,1.7297
2005-07-25,1.7264
2005-07-26,1.7726
2005-07-27,1.8035
2005-07-28,1.7986
