时间,沪深300:成交量
2005-01-04,7.412869
2005-01-05,7.119109
2005-01-06,6.288029
2005-01-07,7.298694
2005-01-10,5.791698
2005-01-11,5.84908
2005-01-12,5.014525
2005-01-13,6.044066
2005-01-14,7.297842
2005-01-17,7.288189
2005-01-18,7.311848
2005-01-19,6.338091
2005-01-20,7.727107
2005-01-21,14.45006
2005-01-24,14.359462
2005-01-25,9.862529
2005-01-26,7.66329
2005-01-27,6.945365
2005-01-28,5.748807
2005-01-31,6.788706
2005-02-01,7.433067
2005-02-02,17.057339
2005-02-03,16.974539
2005-02-04,15.736215
2005-02-16,12.131293
2005-02-17,8.968298
2005-02-18,8.139939
2005-02-21,9.886094
2005-02-22,17.937842
2005-02-23,18.69693
2005-02-24,14.681789
2005-02-25,18.170003
2005-02-28,12.971046
2005-03-01,9.96209
2005-03-02,14.225136
2005-03-03,9.203086
2005-03-04,8.173642
2005-03-07,7.93295
2005-03-08,14.295794
2005-03-09,15.327488
2005-03-10,13.295953
2005-03-11,11.476381
2005-03-14,14.466089
2005-03-15,12.007493
2005-03-16,10.622783
2005-03-17,9.969011
2005-03-18,9.65206
2005-03-21,7.252565
2005-03-22,11.375717
2005-03-23,10.930054
2005-03-24,9.260715
2005-03-25,7.107323
2005-03-28,6.669246
2005-03-29,7.577379
2005-03-30,8.950164
2005-03-31,7.859446
2005-04-01,16.347505
2005-04-04,11.435093
2005-04-05,9.534537
2005-04-06,14.282421
2005-04-07,20.754212
2005-04-08,14.762526
2005-04-11,15.936066
2005-04-12,10.226193
2005-04-13,16.071687
2005-04-14,12.94571
2005-04-15,10.408955
2005-04-18,8.5984
2005-04-19,9.212623
2005-04-20,8.850705
2005-04-21,9.946145
2005-04-22,10.691884
2005-04-25,11.470478
2005-04-26,11.690471
2005-04-27,10.780611
2005-04-28,14.343486
2005-04-29,11.235419
2005-05-09,8.529115
2005-05-10,10.494331
2005-05-11,9.042047
2005-05-12,10.22872
2005-05-13,11.244906
2005-05-16,8.224288
2005-05-17,8.772273
2005-05-18,7.87861
2005-05-19,8.149583
2005-05-20,7.226676
2005-05-23,7.279795
2005-05-24,9.206929
2005-05-25,7.238556
2005-05-26,6.622786
2005-05-27,7.749983
2005-05-30,6.971583
2005-05-31,7.047821
2005-06-01,7.902302
2005-06-02,9.508657
2005-06-03,7.936056
2005-06-06,9.009185
2005-06-07,13.067068
2005-06-08,32.907839
2005-06-09,33.14184
2005-06-10,22.391502
2005-06-13,15.628002
2005-06-14,14.34357
2005-06-15,11.454056
2005-06-16,11.049685
2005-06-17,14.963009
2005-06-20,18.992082
2005-06-21,12.774784
2005-06-22,10.478134
2005-06-23,9.509308
2005-06-24,8.918739
2005-06-27,16.545402
2005-06-28,10.402219
2005-06-29,10.806746
2005-06-30,10.855472
2005-07-01,10.094597
2005-07-04,8.840277
2005-07-05,7.992688
2005-07-06,6.898314
2005-07-07,5.962465
2005-07-08,7.221
2005-07-11,8.439006
2005-07-12,14.989871
2005-07-13,9.398842
2005-07-14,9.361968
2005-07-15,8.889563
2005-07-18,8.500006
2005-07-19,7.891818
2005-07-20,8.526473
2005-07-21,8.366101
2005-07-22,21.630976
2005-07-25,11.81608
2005-07-26,21.826776
2005-07-27,20.409537
2005-07-28,20.622527
2005-07-29,13.397406
2005-08-01,11.808309
2005-08-02,14.292547
2005-08-03,25.786298
2005-08-04,14.519256
2005-08-05,19.123765
2005-08-08,21.608944
2005-08-09,19.532907
2005-08-10,21.515763
2005-08-11,27.073666
2005-08-12,29.168144
2005-08-15,20.430813
2005-08-16,23.861818
2005-08-17,21.457769
2005-08-18,31.855327
2005-08-19,22.242679
2005-08-22,16.03101
2005-08-23,15.406488
2005-08-24,15.959747
2005-08-25,16.292057
2005-08-26,15.429804
2005-08-29,15.462261
2005-08-30,12.43817
2005-08-31,14.62363
2005-09-01,22.306384
2005-09-02,18.614438
2005-09-05,17.843318
2005-09-06,21.222255
2005-09-07,19.608466
2005-09-08,22.424393
2005-09-09,16.21931
2005-09-12,11.672613
2005-09-13,16.579431
2005-09-14,19.958291
2005-09-15,16.377679
2005-09-16,13.978571
2005-09-19,14.737421
2005-09-20,18.636604
2005-09-21,18.541895
2005-09-22,18.115525
2005-09-23,11.547644
2005-09-26,8.836241
2005-09-27,11.086056
2005-09-28,8.85031
2005-09-29,11.938978
2005-09-30,9.001433
2005-10-10,7.158451
2005-10-11,7.758295
2005-10-12,12.208852
2005-10-13,10.828904
2005-10-14,10.12394
2005-10-17,10.552506
2005-10-18,11.366317
2005-10-19,11.033048
2005-10-20,12.608725
2005-10-21,11.364588
2005-10-24,9.218982
2005-10-25,11.213401
2005-10-26,12.167123
2005-10-27,11.908588
2005-10-28,11.973376
2005-10-31,10.443651
2005-11-01,10.082745
2005-11-02,13.104973
2005-11-03,12.179182
2005-11-04,9.56731
2005-11-07,7.713259
2005-11-08,10.128761
2005-11-09,11.774405
2005-11-10,10.853771
2005-11-11,9.21972
2005-11-14,6.271674
2005-11-15,8.252478
2005-11-16,9.066138
2005-11-17,8.811637
2005-11-18,17.597803
2005-11-21,10.259963
2005-11-22,10.597236
2005-11-23,9.91692
2005-11-24,14.629008
2005-11-25,13.003546
2005-11-28,9.739735
2005-11-29,8.414994
2005-11-30,8.040738
2005-12-01,7.069235
2005-12-02,8.492021
2005-12-05,10.286897
2005-12-06,10.303514
2005-12-07,9.842955
2005-12-08,10.259174
2005-12-09,12.719526
2005-12-12,10.69928
2005-12-13,10.547238
2005-12-14,13.868376
2005-12-15,16.259782
2005-12-16,11.452107
2005-12-19,9.936327
2005-12-20,10.294659
2005-12-21,10.273976
2005-12-22,8.947026
2005-12-23,11.906999
2005-12-26,15.34265
2005-12-27,12.050359
2005-12-28,12.131032
2005-12-29,17.254959
2005-12-30,15.600251
2006-01-04,21.126899
2006-01-05,27.311743
2006-01-06,30.286368
2006-01-09,24.329552
2006-01-10,22.735302
2006-01-11,26.524138
2006-01-12,21.89668
2006-01-13,22.281861
2006-01-16,20.305215
2006-01-17,16.037276
2006-01-18,20.823518
2006-01-19,26.455609
2006-01-20,26.147062
2006-01-23,22.546019
2006-01-24,24.197991
2006-01-25,21.800758
2006-02-06,25.038771
2006-02-07,32.954787
2006-02-08,26.986729
2006-02-09,23.839601
2006-02-10,22.024453
2006-02-13,22.157298
2006-02-14,18.55622
2006-02-15,24.784628
2006-02-16,26.159892
2006-02-17,21.026875
2006-02-20,18.818883
2006-02-21,23.678039
2006-02-22,25.380704
2006-02-23,19.785037
2006-02-24,19.676104
2006-02-27,22.872099
2006-02-28,19.353267
2006-03-01,19.42573
2006-03-02,24.877861
2006-03-03,21.200539
2006-03-06,17.870963
2006-03-07,19.336516
2006-03-08,17.463055
2006-03-09,12.735099
2006-03-10,11.887983
2006-03-13,11.765911
2006-03-14,11.34803
2006-03-15,14.842068
2006-03-16,14.784339
2006-03-17,15.001924
2006-03-20,15.389912
2006-03-21,19.077662
2006-03-22,18.640575
2006-03-23,20.467885
2006-03-24,20.098237
2006-03-27,17.13407
2006-03-28,22.273999
2006-03-29,30.526345
2006-03-30,22.012494
2006-03-31,22.27619
2006-04-03,27.729761
2006-04-04,31.148757
2006-04-05,32.936914
2006-04-06,36.167049
2006-04-07,32.57086
2006-04-10,32.06752
2006-04-11,35.60752
2006-04-12,30.333845
2006-04-13,33.824146
2006-04-14,33.527962
2006-04-17,35.704548
2006-04-18,32.317223
2006-04-19,34.322898
2006-04-20,37.885651
2006-04-21,40.77291
2006-04-24,45.936219
2006-04-25,38.611125
2006-04-26,41.824301
2006-04-27,31.980451
2006-04-28,40.801858
