时间,沪深300:成交金额
2005-01-04,44.319774
2005-01-05,45.292082
2005-01-06,39.210154
2005-01-07,47.374694
2005-01-10,37.629329
2005-01-11,37.040767
2005-01-12,30.932997
2005-01-13,38.421733
2005-01-14,41.629212
2005-01-17,42.498078
2005-01-18,41.179441
2005-01-19,34.279513
2005-01-20,43.993506
2005-01-21,81.520861
2005-01-24,83.601615
2005-01-25,61.570224
2005-01-26,47.194404
2005-01-27,40.943989
2005-01-28,32.809503
2005-01-31,38.635736
2005-02-01,42.757068
2005-02-02,102.029043
2005-02-03,100.573103
2005-02-04,95.498706
2005-02-16,74.381682
2005-02-17,55.130633
2005-02-18,48.177321
2005-02-21,60.523949
2005-02-22,109.227768
2005-02-23,112.319407
2005-02-24,89.937522
2005-02-25,114.899612
2005-02-28,81.901013
2005-03-01,62.887907
2005-03-02,89.713079
2005-03-03,55.82812
2005-03-04,53.838681
2005-03-07,53.164732
2005-03-08,98.512746
2005-03-09,98.776243
2005-03-10,83.805477
2005-03-11,76.54557
2005-03-14,102.294289
2005-03-15,80.912092
2005-03-16,71.537459
2005-03-17,65.350613
2005-03-18,63.149912
2005-03-21,45.9452
2005-03-22,69.553077
2005-03-23,70.920554
2005-03-24,64.466426
2005-03-25,42.581272
2005-03-28,41.416564
2005-03-29,48.421511
2005-03-30,54.593788
2005-03-31,45.553228
2005-04-01,101.094028
2005-04-04,72.965
2005-04-05,60.69514
2005-04-06,97.276561
2005-04-07,132.605606
2005-04-08,91.513498
2005-04-11,104.362322
2005-04-12,64.795635
2005-04-13,100.296021
2005-04-14,78.134245
2005-04-15,65.416755
2005-04-18,53.291387
2005-04-19,57.689078
2005-04-20,53.000037
2005-04-21,61.406461
2005-04-22,63.735503
2005-04-25,66.673031
2005-04-26,70.293731
2005-04-27,64.328459
2005-04-28,83.158137
2005-04-29,68.531924
2005-05-09,48.896964
2005-05-10,59.609107
2005-05-11,51.283332
2005-05-12,61.073272
2005-05-13,62.284196
2005-05-16,46.300885
