时间,沪深300指数:换手率
2005-04-08,1.3953
2005-04-11,1.5062
2005-04-12,0.9665
2005-04-13,1.519
2005-04-14,1.2224
2005-04-15,0.9828
2005-04-18,0.8119
2005-04-19,0.8673
2005-04-20,0.8332
2005-04-21,0.9364
2005-04-22,1.0066
2005-04-25,1.0798
2005-04-26,1.1006
2005-04-27,1.0137
2005-04-28,1.3449
2005-04-29,1.0524
2005-05-09,0.7849
2005-05-10,0.9646
2005-05-11,0.8304
2005-05-12,0.9378
2005-05-13,1.0308
2005-05-16,0.7539
2005-05-17,0.8037
2005-05-18,0.7191
2005-05-19,0.7429
2005-05-20,0.6587
2005-05-23,0.6635
2005-05-24,0.8392
2005-05-25,0.6591
2005-05-26,0.603
2005-05-27,0.7056
2005-05-30,0.6334
2005-05-31,0.6403
2005-06-01,0.7176
2005-06-02,0.8635
2005-06-03,0.7207
2005-06-06,0.8181
2005-06-07,1.1866
2005-06-08,2.9878
2005-06-09,3.0089
2005-06-10,2.0329
2005-06-13,1.4188
2005-06-14,1.3001
2005-06-15,1.038
2005-06-16,1.0013
2005-06-17,1.3557
2005-06-20,1.7154
2005-06-21,1.1445
2005-06-22,0.9388
2005-06-23,0.8506
2005-06-24,0.7974
2005-06-27,1.4792
2005-06-28,0.929
2005-06-29,0.9651
2005-06-30,0.9693
2005-07-01,0.901
2005-07-04,0.7888
2005-07-05,0.7132
2005-07-06,0.6149
2005-07-07,0.531
2005-07-08,0.6429
2005-07-11,0.7482
2005-07-12,1.329
2005-07-13,0.8333
2005-07-14,0.8301
2005-07-15,0.7881
2005-07-18,0.7535
2005-07-19,0.6996
2005-07-20,0.7544
2005-07-21,0.7391
2005-07-22,1.9098
2005-07-25,1.0432
2005-07-26,1.9262
2005-07-27,1.8001
2005-07-28,1.8171
2005-07-29,1.2675
2005-08-01,1.0314
2005-08-02,1.248
2005-08-03,2.2516
2005-08-04,1.2965
2005-08-05,1.7045
2005-08-08,1.8851
2005-08-09,1.7215
2005-08-10,1.8753
2005-08-11,2.3623
2005-08-12,2.5846
2005-08-15,2.0367
2005-08-16,2.0642
2005-08-17,1.8979
2005-08-18,3.1287
2005-08-19,1.9019
2005-08-22,1.542
2005-08-23,1.3135
2005-08-24,1.3607
2005-08-25,1.3875
2005-08-26,1.3141
2005-08-29,1.3157
2005-08-30,1.0584
2005-08-31,1.2442
2005-09-01,1.8979
2005-09-02,1.5838
2005-09-05,1.5182
2005-09-06,1.8057
2005-09-07,1.6684
2005-09-08,1.908
2005-09-09,1.3789
2005-09-12,1.0072
2005-09-13,1.4096
2005-09-14,1.6968
2005-09-15,1.3924
2005-09-16,1.1884
2005-09-19,1.253
2005-09-20,1.5845
2005-09-21,1.5764
2005-09-22,1.5402
2005-09-23,0.9818
2005-09-26,0.7512
2005-09-27,0.9425
2005-09-28,0.7524
2005-09-29,1.015
2005-09-30,0.7653
2005-10-10,0.6083
2005-10-11,0.6579
2005-10-12,1.0353
2005-10-13,0.9183
2005-10-14,0.8585
2005-10-17,0.8944
2005-10-18,0.9633
2005-10-19,0.9351
2005-10-20,1.0686
2005-10-21,0.9675
2005-10-24,0.9696
2005-10-25,0.9523
2005-10-26,1.1056
2005-10-27,1.0094
2005-10-28,1.0263
2005-10-31,0.9341
2005-11-01,0.8415
2005-11-02,1.0953
2005-11-03,1.0284
2005-11-04,0.7938
2005-11-07,0.7092
2005-11-08,0.8439
2005-11-09,0.9734
2005-11-10,0.9028
2005-11-11,0.7606
2005-11-14,0.523
2005-11-15,0.6777
2005-11-16,0.7445
2005-11-17,0.7325
2005-11-18,1.4632
2005-11-21,0.9478
2005-11-22,0.8652
2005-11-23,0.8096
2005-11-24,1.1943
2005-11-25,1.0667
2005-11-28,0.8002
2005-11-29,0.686
2005-11-30,0.6614
2005-12-01,0.5764
2005-12-02,0.9108
2005-12-05,0.8381
2005-12-06,0.8367
2005-12-07,0.7993
2005-12-08,0.8307
2005-12-09,1.0459
2005-12-12,0.8734
2005-12-13,0.8575
2005-12-14,1.121
2005-12-15,1.3191
2005-12-16,0.9388
2005-12-19,0.8256
2005-12-20,0.8673
2005-12-21,0.8401
2005-12-22,0.7304
2005-12-23,0.9563
2005-12-26,1.2304
2005-12-27,1.0074
2005-12-28,0.972
2005-12-29,1.416
2005-12-30,1.3136
2006-01-04,1.6626
2006-01-05,2.1485
2006-01-06,2.379
2006-01-09,1.9089
2006-01-10,1.783
2006-01-11,2.0789
2006-01-12,1.7155
2006-01-13,1.7441
2006-01-16,1.5894
2006-01-17,1.2553
2006-01-18,1.6279
2006-01-19,2.0653
2006-01-20,2.0407
2006-01-23,1.7586
2006-01-24,1.886
2006-01-25,1.6984
2006-02-06,1.9493
2006-02-07,2.5644
2006-02-08,2.1
2006-02-09,1.852
2006-02-10,1.6973
2006-02-13,1.7051
2006-02-14,1.4258
2006-02-15,1.9032
2006-02-16,2.0077
2006-02-17,1.612
2006-02-20,1.4427
2006-02-21,1.8138
2006-02-22,1.942
2006-02-23,1.5116
2006-02-24,1.5033
2006-02-27,1.7346
2006-02-28,1.466
2006-03-01,1.4704
2006-03-02,1.881
2006-03-03,1.6013
2006-03-06,1.3489
2006-03-07,1.4556
2006-03-08,1.3117
2006-03-09,0.956
2006-03-10,0.8924
2006-03-13,0.8827
2006-03-14,0.8512
2006-03-15,1.113
2006-03-16,1.1082
2006-03-17,1.1214
2006-03-20,1.15
2006-03-21,1.4214
2006-03-22,1.3869
2006-03-23,1.5229
2006-03-24,1.4954
2006-03-27,1.2736
2006-03-28,1.6464
2006-03-29,2.2529
2006-03-30,1.6239
2006-03-31,1.638
2006-04-03,2.0372
2006-04-04,2.2863
