时间,期货成交量:沪深300指数期货
2006-10-30,27780
2006-10-31,32863
2006-11-01,40277
2006-11-02,84575
2006-11-03,80769
2006-11-06,102370
2006-11-07,81484
2006-11-08,65809
2006-11-09,90204
2006-11-10,109738
2006-11-13,121953
2006-11-14,146456
2006-11-15,156553
2006-11-16,153454
2006-11-17,122417
2006-11-20,104312
2006-11-21,150638
2006-11-22,171479
2006-11-23,184340
2006-11-24,162758
2006-11-27,149571
2006-11-28,162238
2006-11-29,186425
2006-11-30,156378
2006-12-01,176037
2006-12-04,218581
2006-12-05,354716
2006-12-06,260280
2006-12-07,213942
2006-12-08,222364
2006-12-11,206248
2006-12-12,235731
2006-12-13,180395
2006-12-14,172133
2006-12-15,183352
2006-12-18,171784
2006-12-19,236356
2006-12-20,183229
2006-12-21,219127
2006-12-22,163914
2006-12-25,146728
2006-12-26,138686
2006-12-27,151795
2006-12-28,150447
2006-12-29,162378
2007-01-04,142650
2007-01-05,106588
2007-01-08,111301
2007-01-09,131889
2007-01-10,202883
2007-01-11,167444
2007-01-12,147181
2007-01-15,136338
2007-01-16,168622
2007-01-17,190615
2007-01-18,137082
2007-01-19,112095
2007-01-22,148414
2007-01-23,100708
2007-01-24,87956
2007-01-25,90514
2007-01-26,75517
2007-01-29,57342
2007-01-30,65520
2007-01-31,100660
2007-02-01,87973
2007-02-02,71335
2007-02-05,56221
2007-02-06,78789
2007-02-07,66359
2007-02-08,73158
2007-02-09,74702
2007-02-12,42619
2007-02-13,41019
2007-02-14,56872
2007-02-15,64082
2007-02-16,57629
2007-02-26,44671
2007-02-27,65854
2007-02-28,67153
2007-03-01,69998
2007-03-02,52957
2007-03-05,56267
2007-03-06,51900
2007-03-07,43742
2007-03-08,41474
2007-03-09,45099
2007-03-12,37734
2007-03-13,50227
2007-03-14,42905
2007-03-15,43098
2007-03-16,38748
2007-03-19,41548
2007-03-20,52150
2007-03-21,48949
2007-03-22,57449
2007-03-23,71773
2007-03-26,53459
2007-03-27,41034
2007-03-28,49495
2007-03-29,54218
2007-03-30,40526
2007-04-02,33038
2007-04-03,49116
2007-04-04,57199
2007-04-05,38738
2007-04-06,40553
2007-04-09,46755
2007-04-10,64814
2007-04-11,53683
2007-04-12,50436
2007-04-13,54213
2007-04-16,62733
2007-04-17,89171
2007-04-18,92156
2007-04-19,84914
2007-04-20,60905
2007-04-23,54533
2007-04-24,82710
2007-04-25,84484
2007-04-26,79647
2007-04-27,70049
2007-04-30,66275
2007-05-08,61584
2007-05-09,84603
2007-05-10,64440
2007-05-11,72790
2007-05-14,70294
2007-05-15,68771
2007-05-16,65025
2007-05-17,66064
2007-05-18,64512
2007-05-21,56740
2007-05-22,59720
2007-05-23,65255
2007-05-24,64914
2007-05-25,52158
2007-05-28,42533
2007-05-29,53806
2007-05-30,77488
2007-05-31,69233
2007-06-01,52970
2007-06-04,48279
2007-06-05,45883
2007-06-06,48465
2007-06-07,46971
2007-06-08,45995
2007-06-11,41645
2007-06-12,52151
2007-06-13,49150
2007-06-14,37902
2007-06-15,32701
2007-06-18,38445
2007-06-19,31318
2007-06-20,39507
2007-06-21,48056
2007-06-22,47102
2007-06-25,79284
2007-06-26,136400
2007-06-27,149707
2007-06-28,155443
2007-06-29,159637
2007-07-02,127185
2007-07-03,105051
2007-07-04,149298
2007-07-05,186917
2007-07-06,235974
2007-07-09,149355
2007-07-10,166132
2007-07-11,128884
2007-07-12,86143
2007-07-13,86871
2007-07-16,138838
2007-07-17,140093
2007-07-18,122195
2007-07-19,101987
2007-07-20,127041
2007-07-23,113039
2007-07-24,112198
2007-07-25,96955
2007-07-26,84919
2007-07-27,90560
2007-07-30,99694
2007-07-31,93411
2007-08-01,106325
2007-08-02,117360
2007-08-03,146527
2007-08-06,106499
2007-08-07,102819
2007-08-08,110942
2007-08-09,84597
