时间,期货持仓量:沪深300指数期货
2006-10-30,3176
2006-10-31,7552
2006-11-01,11584
2006-11-02,16194
2006-11-03,23115
2006-11-06,33799
2006-11-07,32324
2006-11-08,35533
2006-11-09,33209
2006-11-10,40975
2006-11-13,51116
2006-11-14,49793
2006-11-15,48067
2006-11-16,50370
2006-11-17,33068
2006-11-20,42205
2006-11-21,50537
2006-11-22,57851
2006-11-23,66598
2006-11-24,69942
2006-11-27,70085
2006-11-28,75797
2006-11-29,80174
2006-11-30,78385
2006-12-01,86344
2006-12-04,83554
2006-12-05,100872
2006-12-06,96289
2006-12-07,97169
2006-12-08,88213
2006-12-11,90824
2006-12-12,98695
2006-12-13,102806
2006-12-14,103379
2006-12-15,66972
2006-12-18,76134
2006-12-19,79257
2006-12-20,86701
2006-12-21,89447
2006-12-22,91603
2006-12-25,92960
2006-12-26,94561
2006-12-27,94179
2006-12-28,96432
2006-12-29,95031
2007-01-04,85151
2007-01-05,86708
2007-01-08,85829
2007-01-09,82359
2007-01-10,89150
2007-01-11,92273
2007-01-12,91595
2007-01-15,95329
2007-01-16,89377
2007-01-17,99721
2007-01-18,98152
2007-01-19,78578
2007-01-22,91060
2007-01-23,87469
2007-01-24,87583
2007-01-25,87497
2007-01-26,82874
2007-01-29,81852
2007-01-30,82414
2007-01-31,78871
2007-02-01,75560
2007-02-02,73398
2007-02-05,74309
2007-02-06,74053
2007-02-07,75988
2007-02-08,77796
2007-02-09,78694
2007-02-12,79321
2007-02-13,79184
2007-02-14,80267
2007-02-15,79012
2007-02-16,59846
2007-02-26,61969
2007-02-27,58767
2007-02-28,59824
2007-03-01,59823
2007-03-02,59524
2007-03-05,59641
2007-03-06,61434
2007-03-07,59971
2007-03-08,60747
2007-03-09,61436
2007-03-12,61833
2007-03-13,59669
2007-03-14,60911
2007-03-15,60643
2007-03-16,35798
2007-03-19,38707
2007-03-20,40830
2007-03-21,41473
2007-03-22,41410
2007-03-23,45850
2007-03-26,48957
2007-03-27,49303
2007-03-28,50824
2007-03-29,49971
2007-03-30,50466
2007-04-02,52491
2007-04-03,53201
2007-04-04,53223
2007-04-05,54178
2007-04-06,55285
2007-04-09,54871
2007-04-10,56654
2007-04-11,57248
2007-04-12,56694
2007-04-13,55309
2007-04-16,56544
2007-04-17,54233
2007-04-18,55595
2007-04-19,54557
2007-04-20,45752
2007-04-23,47691
2007-04-24,48433
2007-04-25,52107
2007-04-26,52576
2007-04-27,53790
2007-04-30,53261
2007-05-08,54240
2007-05-09,54770
2007-05-10,57756
2007-05-11,55833
2007-05-14,53437
2007-05-15,52060
2007-05-16,52472
2007-05-17,51168
2007-05-18,44559
2007-05-21,47638
2007-05-22,48590
2007-05-23,49378
2007-05-24,48995
2007-05-25,51878
