时间,期货收盘价(活跃合约):沪深300指数期货
2010-04-16,3415.6
2010-04-19,3197.4
2010-04-20,3214.6
2010-04-21,3267.2
2010-04-22,3236.2
2010-04-23,3221.2
2010-04-26,3219.6
2010-04-27,3138.8
2010-04-28,3129
2010-04-29,3083.8
2010-04-30,3107
2010-05-04,3076.4
2010-05-05,3076.4
2010-05-06,2967.4
2010-05-07,2897.6
2010-05-10,2918
2010-05-11,2801.6
2010-05-12,2836.2
2010-05-13,2894.6
2010-05-14,2862.6
2010-05-17,2719
2010-05-18,2810.4
2010-05-19,2784.8
2010-05-20,2763.2
2010-05-21,2801
2010-05-24,2902
2010-05-25,2813.2
2010-05-26,2839.6
2010-05-27,2901.4
2010-05-28,2865.2
2010-05-31,2792
2010-06-01,2762
2010-06-02,2776.4
2010-06-03,2748
2010-06-04,2761
2010-06-07,2706.2
2010-06-08,2724.4
2010-06-09,2788.8
2010-06-10,2769.6
2010-06-11,2765.8
2010-06-17,2744.2
2010-06-18,2718.2
2010-06-21,2804.8
2010-06-22,2797.6
2010-06-23,2765.2
2010-06-24,2771
2010-06-25,2753.8
2010-06-28,2741.6
2010-06-29,2600.4
2010-06-30,2579
2010-07-01,2545.2
2010-07-02,2546
2010-07-05,2530.6
2010-07-06,2564.6
2010-07-07,2568.4
2010-07-08,2569
2010-07-09,2650
2010-07-12,2660.6
2010-07-13,2626
2010-07-14,2647
2010-07-15,2610.8
2010-07-16,2620.6
2010-07-19,2697.6
2010-07-20,2746
2010-07-21,2744.4
2010-07-22,2784.4
2010-07-23,2783.6
2010-07-26,2796.8
2010-07-27,2778
2010-07-28,2887.4
2010-07-29,2876.8
2010-07-30,2871.4
2010-08-02,2926.4
2010-08-03,2856.8
2010-08-04,2873.8
2010-08-05,2846.4
2010-08-06,2920
2010-08-09,2913
2010-08-10,2837
2010-08-11,2839.4
2010-08-12,2826.8
2010-08-13,2855
2010-08-16,2927.6
2010-08-17,2947
2010-08-18,2962.2
2010-08-19,2981.6
2010-08-20,2921.8
2010-08-23,2905.6
2010-08-24,2914
2010-08-25,2856.4
2010-08-26,2865.8
2010-08-27,2872.6
2010-08-30,2930.2
2010-08-31,2910.4
2010-09-01,2890.2
2010-09-02,2929.2
2010-09-03,2933
2010-09-06,2992.2
2010-09-07,2996.6
2010-09-08,2995.2
2010-09-09,2947.6
2010-09-10,2940.6
2010-09-13,2967.4
2010-09-14,2966.8
2010-09-15,2920
2010-09-16,2877.8
2010-09-17,2878.8
2010-09-20,2873
2010-09-21,2871.4
2010-09-27,2904
2010-09-28,2891.4
2010-09-29,2894.2
2010-09-30,2953.4
2010-10-08,3054.2
2010-10-11,3137.6
2010-10-12,3154.6
2010-10-13,3206.8
2010-10-14,3250
2010-10-15,3392
2010-10-18,3329.4
2010-10-19,3423.8
2010-10-20,3458.2
2010-10-21,3448.8
2010-10-22,3465.4
2010-10-25,3606
2010-10-26,3558.2
2010-10-27,3488
2010-10-28,3513.8
2010-10-29,3420
2010-11-01,3555.2
2010-11-02,3500.4
2010-11-03,3472.2
2010-11-04,3524.8
2010-11-05,3578
2010-11-08,3579.6
2010-11-09,3545.4
2010-11-10,3525.8
2010-11-11,3573.4
2010-11-12,3342.4
2010-11-15,3352.8
2010-11-16,3211.2
2010-11-17,3156
2010-11-18,3190.4
2010-11-19,3244
2010-11-22,3189
2010-11-23,3121.4
2010-11-24,3197.4
2010-11-25,3227.6
2010-11-26,3213
2010-11-29,3212
2010-11-30,3153.2
2010-12-01,3145.6
2010-12-02,3167.8
2010-12-03,3175
2010-12-06,3171
2010-12-07,3221.8
2010-12-08,3159.6
2010-12-09,3139.8
2010-12-10,3171.6
2010-12-13,3275.6
2010-12-14,3277.8
2010-12-15,3283
2010-12-16,3264.2
2010-12-17,3281
2010-12-20,3209.2
2010-12-21,3303.4
2010-12-22,3243.6
2010-12-23,3218.2
2010-12-24,3196.4
2010-12-27,3118.6
2010-12-28,3074.2
2010-12-29,3091.6
2010-12-30,3093.8
2010-12-31,3157
2011-01-04,3192
2011-01-05,3186.8
2011-01-06,3173
2011-01-07,3171
2011-01-10,3122
2011-01-11,3140
2011-01-12,3153.6
2011-01-13,3147
2011-01-14,3097.4
2011-01-17,2971.8
2011-01-18,2974
2011-01-19,3044.6
2011-01-20,2957.2
2011-01-21,2990.8
2011-01-24,2970.2
2011-01-25,2960
2011-01-26,2987.2
2011-01-27,3030.4
2011-01-28,3045.8
2011-01-31,3079.8
2011-02-01,3085.4
2011-02-09,3038.4
2011-02-10,3104.6
2011-02-11,3117.2
2011-02-14,3228.6
2011-02-15,3242
2011-02-16,3272.6
2011-02-17,3262
2011-02-18,3231.4
2011-02-21,3284.2
2011-02-22,3179.4
2011-02-23,3175.2
2011-02-24,3193.2
2011-02-25,3214.6
2011-02-28,3255.2
2011-03-01,3254.4
2011-03-02,3245.4
2011-03-03,3223.6
2011-03-04,3288.6
2011-03-07,3342.2
2011-03-08,3363.4
2011-03-09,3345.4
2011-03-10,3290
2011-03-11,3250.2
2011-03-14,3258.4
2011-03-15,3199.6
2011-03-16,3242.8
2011-03-17,3225
2011-03-18,3232.2
2011-03-21,3230
2011-03-22,3231.6
2011-03-23,3269.2
2011-03-24,3267
2011-03-25,3298.4
2011-03-28,3296.6
2011-03-29,3273.8
2011-03-30,3263.6
2011-03-31,3244
2011-04-01,3276.4
2011-04-06,3308
2011-04-07,3323.8
2011-04-08,3366
2011-04-11,3344.6
2011-04-12,3326
2011-04-13,3374.8
2011-04-14,3364
2011-04-15,3372.8
2011-04-18,3355.4
2011-04-19,3311.4
2011-04-20,3316
2011-04-21,3320
2011-04-22,3307.8
2011-04-25,3261.2
2011-04-26,3252.8
2011-04-27,3230.2
2011-04-28,3195.2
2011-04-29,3193.2
2011-05-03,3210.4
2011-05-04,3129
2011-05-05,3120.4
2011-05-06,3133
2011-05-09,3137.2
2011-05-10,3149.4
2011-05-11,3139.8
2011-05-12,3090.2
2011-05-13,3127
2011-05-16,3103.8
2011-05-17,3115.4
2011-05-18,3148.2
2011-05-19,3129
2011-05-20,3126.2
2011-05-23,3022.4
2011-05-24,3023.8
2011-05-25,3015.2
2011-05-26,2992.6
2011-05-27,2981
2011-05-30,2971.8
2011-05-31,2996
2011-06-01,3002.4
2011-06-02,2963
2011-06-03,2986.6
2011-06-07,2995
2011-06-08,3006.8
2011-06-09,2958.2
2011-06-10,2947.6
2011-06-13,2955.2
2011-06-14,2984
2011-06-15,2960.8
2011-06-16,2928
2011-06-17,2888
2011-06-20,2883.6
2011-06-21,2901.8
2011-06-22,2897.6
2011-06-23,2961.4
2011-06-24,3039.8
2011-06-27,3038.4
2011-06-28,3041
2011-06-29,3017.6
2011-06-30,3035
2011-07-01,3049.6
2011-07-04,3122
2011-07-05,3119
2011-07-06,3114
2011-07-07,3113.6
2011-07-08,3120.6
2011-07-11,3104.2
2011-07-12,3054.6
2011-07-13,3108
2011-07-14,3114
2011-07-15,3139
2011-07-18,3122.8
2011-07-19,3116.8
2011-07-20,3095.2
2011-07-21,3074.8
2011-07-22,3075
2011-07-25,2977.2
2011-07-26,2983.2
2011-07-27,2994.2
2011-07-28,2990.2
2011-07-29,2971.6
2011-08-01,2987.8
2011-08-02,2964
2011-08-03,2960
2011-08-04,2962.6
2011-08-05,2896.2
2011-08-08,2796.2
2011-08-09,2820.2
2011-08-10,2807.8
2011-08-11,2879.6
2011-08-12,2860.4
2011-08-15,2896
2011-08-16,2880
2011-08-17,2890.6
2011-08-18,2846.4
2011-08-19,2805.8
2011-08-22,2786.2
2011-08-23,2832.2
2011-08-24,2800.4
2011-08-25,2912.8
2011-08-26,2894.6
2011-08-29,2855.4
2011-08-30,2831.8
2011-08-31,2846.8
2011-09-01,2828
2011-09-02,2808.4
2011-09-05,2748.4
2011-09-06,2737.2
2011-09-07,2776
2011-09-08,2762.4
2011-09-09,2750
2011-09-13,2722.8
2011-09-14,2730.6
2011-09-15,2730.8
2011-09-16,2735.2
2011-09-19,2668.6
2011-09-20,2704.6
2011-09-21,2765.4
2011-09-22,2684.4
2011-09-23,2668.2
2011-09-26,2605.4
2011-09-27,2648.2
2011-09-28,2618.6
2011-09-29,2606.8
2011-09-30,2571.8
2011-10-10,2568
2011-10-11,2553.6
2011-10-12,2635.2
2011-10-13,2654.6
2011-10-14,2656.6
2011-10-17,2663.4
2011-10-18,2594.2
2011-10-19,2586
2011-10-20,2524.4
2011-10-21,2521.2
2011-10-24,2576.4
2011-10-25,2622
2011-10-26,2662.8
2011-10-27,2675.8
2011-10-28,2703
2011-10-31,2693.8
2011-11-01,2686.6
2011-11-02,2777
2011-11-03,2747.4
2011-11-04,2773.2
2011-11-07,2755.6
2011-11-08,2741
2011-11-09,2748
2011-11-10,2701
2011-11-11,2694.6
2011-11-14,2752.2
2011-11-15,2740.6
2011-11-16,2682.8
2011-11-17,2676.4
2011-11-18,2617.8
2011-11-21,2613.6
2011-11-22,2611.2
2011-11-23,2586.4
2011-11-24,2598.2
2011-11-25,2573
2011-11-28,2585
2011-11-29,2602
2011-11-30,2528
2011-12-01,2583
2011-12-02,2564.8
2011-12-05,2536
2011-12-06,2519.4
2011-12-07,2537.2
2011-12-08,2531
2011-12-09,2510.8
2011-12-12,2490.2
2011-12-13,2438.8
2011-12-14,2419
2011-12-15,2343.6
2011-12-16,2391.4
2011-12-19,2403
2011-12-20,2380.2
2011-12-21,2358.6
2011-12-22,2357.8
2011-12-23,2360.2
2011-12-26,2344
2011-12-27,2321.6
2011-12-28,2321.2
2011-12-29,2322
2011-12-30,2357
2012-01-04,2305.6
2012-01-05,2291
2012-01-06,2297.6
2012-01-09,2376.8
2012-01-10,2462.6
2012-01-11,2445.6
2012-01-12,2445.6
2012-01-13,2410.2
2012-01-16,2352
2012-01-17,2487.4
2012-01-18,2441.4
2012-01-19,2488.4
2012-01-20,2515.8
2012-01-30,2469.2
2012-01-31,2476
2012-02-01,2439.8
2012-02-02,2487.2
2012-02-03,2509
2012-02-06,2504.4
2012-02-07,2464.2
2012-02-08,2536.4
2012-02-09,2532.6
2012-02-10,2532.2
2012-02-13,2531
2012-02-14,2519.6
2012-02-15,2558.6
2012-02-16,2544
2012-02-17,2549.8
2012-02-20,2552.4
2012-02-21,2568.8
2012-02-22,2595.8
2012-02-23,2606
2012-02-24,2658.4
2012-02-27,2669
2012-02-28,2668
2012-02-29,2650.8
2012-03-01,2639
2012-03-02,2684.6
2012-03-05,2668.8
2012-03-06,2633
2012-03-07,2613
2012-03-08,2637.8
2012-03-09,2665
2012-03-12,2647.6
2012-03-13,2676.8
2012-03-14,2613.8
2012-03-15,2600.4
2012-03-16,2627
2012-03-19,2629.4
2012-03-20,2596.2
2012-03-21,2601.6
2012-03-22,2596.4
2012-03-23,2571
2012-03-26,2568.8
2012-03-27,2564.8
2012-03-28,2493
2012-03-29,2464
2012-03-30,2453.6
2012-04-05,2511.4
2012-04-06,2520.6
2012-04-09,2501
2012-04-10,2517
2012-04-11,2521.4
2012-04-12,2572.2
2012-04-13,2586.2
2012-04-16,2574.2
2012-04-17,2549.6
2012-04-18,2608
