时间,沪深300指数:涨跌幅
2002-01-07,-1.091644
2002-01-08,-0.719616
2002-01-09,-1.55247
2002-01-10,0.677015
2002-01-11,-2.454379
2002-01-14,-3.573972
2002-01-15,-1.552758
2002-01-16,1.301717
2002-01-17,-4.137611
2002-01-18,-0.231307
2002-01-21,-3.555772
2002-01-22,0.124841
2002-01-23,6.591027
2002-01-24,0.543378
2002-01-25,-0.01303
2002-01-28,-6.439482
2002-01-29,2.47494
2002-01-30,0.480367
2002-01-31,6.624311
2002-02-01,-0.492486
2002-02-04,1.745928
2002-02-05,0.798161
2002-02-06,-2.41041
2002-02-07,1.991719
2002-02-08,-0.477912
2002-02-25,1.580368
2002-02-26,-0.118762
2002-02-27,0.229507
2002-02-28,-0.907168
2002-03-01,-1.395947
2002-03-04,1.518706
2002-03-05,2.387655
2002-03-06,1.00579
2002-03-07,3.100174
2002-03-08,1.766502
2002-03-11,1.862849
2002-03-12,-1.062644
2002-03-13,-1.414118
2002-03-14,2.471153
2002-03-15,-2.733867
2002-03-18,0.239411
2002-03-19,1.97264
2002-03-20,1.025959
2002-03-21,0.243993
2002-03-22,-1.146566
2002-03-25,0.227097
2002-03-26,-1.675368
2002-03-27,0.302887
2002-03-28,-0.115575
2002-03-29,-2.888432
2002-04-01,0.313141
2002-04-02,-1.594212
2002-04-03,0.437615
2002-04-04,2.724519
2002-04-05,-0.413163
2002-04-08,0.112896
2002-04-09,1.802273
2002-04-10,0.66095
2002-04-11,-1.608381
2002-04-12,0.442839
2002-04-15,-0.452214
2002-04-16,-0.228993
2002-04-17,0.019679
2002-04-18,-1.134326
2002-04-19,0.308772
2002-04-22,-0.434001
2002-04-23,-0.468424
2002-04-24,-0.677505
2002-04-25,0.210426
2002-04-26,1.465238
2002-04-29,1.356973
2002-04-30,0.283156
2002-05-08,-0.835915
2002-05-09,0.185578
2002-05-10,-0.693941
2002-05-13,-1.170915
2002-05-14,-0.616299
2002-05-15,-0.881389
2002-05-16,-2.968728
2002-05-17,1.245559
2002-05-20,-1.441082
2002-05-21,3.181449
2002-05-22,-1.44109
2002-05-23,0.365267
2002-05-24,-1.46867
2002-05-27,0.345191
2002-05-28,0.003621
2002-05-29,-1.91777
2002-05-30,-0.010674
2002-05-31,-0.586651
2002-06-03,-2.033705
2002-06-04,0.505609
2002-06-05,-1.877783
2002-06-06,4.094021
2002-06-07,0.554024
2002-06-10,-0.700272
2002-06-11,0.732306
2002-06-12,-0.479546
2002-06-13,-0.903963
2002-06-14,-1.088807
2002-06-17,0.207427
2002-06-18,1.97468
2002-06-19,-1.023993
2002-06-20,0.730715
2002-06-21,3.48901
