时间,沪深300指数:涨跌点数
2002-01-07,-14.371
2002-01-08,-9.37
2002-01-09,-20.069
2002-01-10,8.616
2002-01-11,-31.447
2002-01-14,-44.668
2002-01-15,-18.713
2002-01-16,15.444
2002-01-17,-49.729
2002-01-18,-2.665
2002-01-21,-40.873
2002-01-22,1.384
2002-01-23,73.16
2002-01-24,6.429
2002-01-25,-0.155
2002-01-28,-76.593
2002-01-29,27.542
2002-01-30,5.478
2002-01-31,75.905
2002-02-01,-6.017
2002-02-04,21.226
2002-02-05,9.873
2002-02-06,-30.054
2002-02-07,24.235
2002-02-08,-5.931
2002-02-25,19.519
2002-02-26,-1.49
2002-02-27,2.876
2002-02-28,-11.394
2002-03-01,-17.374
2002-03-04,18.638
2002-03-05,29.747
2002-03-06,12.83
2002-03-07,39.944
2002-03-08,23.466
2002-03-11,25.183
2002-03-12,-14.633
2002-03-13,-19.266
2002-03-14,33.191
2002-03-15,-37.627
2002-03-18,3.205
2002-03-19,26.471
2002-03-20,14.039
2002-03-21,3.373
2002-03-22,-15.889
2002-03-25,3.111
2002-03-26,-23.003
2002-03-27,4.089
2002-03-28,-1.565
2002-03-29,-39.067
2002-04-01,4.113
2002-04-02,-21.005
2002-04-03,5.674
2002-04-04,35.48
2002-04-05,-5.527
2002-04-08,1.504
2002-04-09,24.037
2002-04-10,8.974
2002-04-11,-21.982
2002-04-12,5.955
2002-04-15,-6.108
2002-04-16,-3.079
2002-04-17,0.264
2002-04-18,-15.22
2002-04-19,4.096
2002-04-22,-5.775
2002-04-23,-6.206
2002-04-24,-8.934
2002-04-25,2.756
2002-04-26,19.231
2002-04-29,18.071
2002-04-30,3.822
2002-05-08,-11.315
2002-05-09,2.491
2002-05-10,-9.332
2002-05-13,-15.637
2002-05-14,-8.134
2002-05-15,-11.561
2002-05-16,-38.597
2002-05-17,15.713
2002-05-20,-18.406
2002-05-21,40.049
2002-05-22,-18.718
2002-05-23,4.676
2002-05-24,-18.87
2002-05-27,4.37
2002-05-28,0.046
2002-05-29,-24.363
2002-05-30,-0.133
2002-05-31,-7.309
2002-06-03,-25.189
2002-06-04,6.135
2002-06-05,-22.9
2002-06-06,48.99
2002-06-07,6.901
2002-06-10,-8.771
2002-06-11,9.108
2002-06-12,-6.008
2002-06-13,-11.271
2002-06-14,-13.453
2002-06-17,2.535
2002-06-18,24.183
2002-06-19,-12.788
2002-06-20,9.032
2002-06-21,43.441
2002-06-24,120.983
2002-06-25,-0.279
2002-06-26,8.081
2002-06-27,5.205
