时间,中国:沪深300:资金净主动买入额
2008-08-19,2.799098
2009-01-07,3.067973
2009-01-12,-5.28276
2009-01-19,-20.456613
2009-01-22,6.167318
2009-03-03,-25.158871
2009-03-04,62.003604
2009-03-05,-37.007659
2009-03-13,-2.791981
2009-03-16,10.914022
2009-03-17,45.138637
2009-03-18,11.77345
2009-03-19,31.103421
2009-03-26,-32.570665
2009-03-31,-12.341748
2009-04-01,21.730726
2009-04-03,-10.456855
2009-04-07,-38.616824
2009-04-08,-78.435972
2009-04-09,-7.728749
2009-04-10,72.844367
2009-04-13,36.486833
2009-04-14,-10.003642
2009-04-15,-24.548989
2009-04-29,31.894428
2009-04-30,-3.5798
2009-05-05,-11.928878
2009-05-06,2.306231
2009-05-07,-19.7931
2009-05-13,24.057826
2009-05-14,-31.87814
2009-05-27,17.045886
2009-06-02,11.182332
2009-06-04,-25.634182
2009-06-05,-28.553952
2009-06-15,0.233088
2009-06-17,9.580947
2009-06-23,-30.209974
2009-06-24,18.547355
2009-07-01,48.937212
2009-07-02,20.62074
2009-07-03,7.955673
2009-07-06,-1.490459
2009-07-07,-24.546841
2009-07-08,-51.037921
2009-07-09,15.452684
2009-07-10,-4.780429
2009-07-14,54.857288
2009-07-17,0.899331
2009-07-21,-56.885389
2009-07-22,52.429827
2009-07-30,-3.930218
2009-07-31,34.302921
2009-08-03,-1.498058
2009-08-04,-44.127055
2009-08-05,-103.377916
2009-08-06,-91.565976
2009-08-10,-98.047159
2009-08-11,-42.713874
2009-08-12,-112.63182
2009-08-13,-24.092688
2009-08-14,-55.98401
2009-08-17,-104.951895
2009-08-18,-26.592755
2009-08-19,-83.963692
2009-08-20,48.731904
2009-08-21,-6.438373
2009-08-24,-16.983886
2009-08-25,-113.82611
2009-08-27,-50.00568
2009-08-28,-113.733523
2009-09-01,-5.724388
2009-09-02,20.071272
2009-09-03,95.194439
2009-09-04,-10.61048
2009-09-07,-2.418116
2009-09-09,-0.974862
2009-09-11,56.034523
2009-09-14,-12.063094
2009-09-15,-28.515695
2009-09-16,-79.711299
2009-09-17,18.707896
2009-09-22,-54.254668
2009-09-23,-55.940298
2009-09-24,-2.145069
2009-09-25,-26.738966
2009-09-28,-49.147014
2009-09-29,-0.021404
2009-09-30,3.868341
2009-10-09,57.664338
2009-10-12,-8.894301
2009-10-13,15.123027
2009-10-14,34.506427
2009-10-16,-14.298628
2009-10-19,76.112103
2009-10-20,15.073955
2009-10-21,-3.564887
2009-10-22,-31.424483
2009-10-23,58.656771
2009-10-26,-15.082223
2009-10-30,-0.871323
2009-11-02,47.015098
2009-11-03,2.838279
2009-11-04,-0.691368
2009-11-05,-13.616338
2009-11-06,7.999165
2009-11-13,-57.023142
2009-11-19,-51.233447
2009-11-23,-22.584593
2009-11-24,-141.602805
2009-11-25,5.151573
2009-12-01,9.609533
2009-12-07,-19.154853
2009-12-08,-88.329075
2009-12-09,-103.660905
2009-12-10,-51.322722
2009-12-14,16.674867
2009-12-16,-42.555284
2010-01-04,-50.370795
2010-01-05,25.701762
2010-01-06,-14.603032
2010-01-07,-133.136101
2010-01-08,-29.453919
2010-01-11,-81.481434
2010-01-12,38.702868
2010-01-13,-167.890175
2010-01-14,7.682866
2010-01-15,-36.017187
2010-01-18,-12.585177
2010-01-19,-39.049219
2010-01-20,-214.495923
2010-01-21,-57.422699
2010-01-22,-104.112623
2010-01-25,-66.799667
2010-01-26,-117.974255
2010-01-27,-45.857441
2010-01-28,-12.68888
2010-01-29,-35.934152
2010-02-01,-71.580287
2010-02-02,-50.843941
2010-02-03,44.756654
2010-02-04,-35.734463
2010-02-05,-74.249945
2010-02-08,-14.485649
2010-02-09,-14.323835
2010-02-10,8.524062
2010-02-11,-10.087888
2010-02-12,16.476307
2010-02-22,-31.330949
2010-02-23,-31.528912
2010-02-24,36.262111
2010-02-25,20.716216
2010-02-26,-45.629446
2010-03-01,15.19515
2010-03-02,-75.606108
2010-03-03,1.36904
2010-03-04,-151.718264
2010-03-05,-33.029599
2010-03-08,3.312106
2010-03-09,12.173627
2010-03-10,-66.691478
2010-03-11,-34.853522
2010-03-12,-85.301108
2010-03-15,-72.22611
2010-03-16,-17.811331
2010-03-17,68.485377
2010-03-18,-40.579764
2010-03-19,8.380715
2010-03-22,-16.44737
2010-03-23,-72.14226
2010-03-24,-39.488843
2010-03-25,-94.545008
2010-03-26,26.196216
2010-03-29,81.174697
2010-03-30,-16.962482
2010-03-31,-74.14054
2010-04-01,51.888762
2010-04-02,-6.549163
2010-04-06,-73.673045
2010-04-07,-61.89889
2010-04-08,-105.741845
2010-04-09,-0.753324
2010-04-12,-107.248268
2010-04-13,-6.725072
2010-04-14,-3.09595
2010-04-15,-50.037804
2010-04-16,-63.73566
2010-04-19,-239.790457
2010-04-20,-33.67077
2010-04-21,21.689401
2010-04-22,-68.396552
2010-04-23,-66.780679
2010-04-26,-57.173123
2010-04-27,-113.239992
2010-04-28,-14.884821
2010-04-29,-77.913013
2010-04-30,-20.292698
2010-05-04,-25.073957
2010-05-05,6.422092
2010-05-06,-133.775089
2010-05-07,-43.877418
2010-05-10,-10.818041
2010-05-11,-106.233477
2010-05-12,7.176544
2010-05-13,44.913526
2010-05-14,-38.93423
2010-05-17,-113.535011
2010-05-18,45.852146
2010-05-19,-9.198911
2010-05-20,-46.630747
2010-05-21,49.848943
2010-05-24,48.064945
2010-05-25,-75.490072
2010-05-26,-25.732214
2010-05-27,56.031831
2010-05-28,-45.935341
