时间,静态市盈率:沪深300指数
2005-04-08,16.5748
2005-04-09,16.5944
2005-04-10,16.5944
2005-04-11,16.4019
2005-04-12,15.8288
2005-04-13,16.0909
2005-04-14,15.934
2005-04-15,15.7255
2005-04-16,16.1076
2005-04-17,16.1076
2005-04-18,15.8792
2005-04-19,15.9165
2005-04-20,15.8373
2005-04-21,15.7385
2005-04-22,15.7525
2005-04-23,15.7864
2005-04-24,15.7864
2005-04-25,15.6736
2005-04-26,15.4759
2005-04-27,15.3006
2005-04-28,15.5583
2005-04-29,15.3569
2005-04-30,15.3176
2005-05-01,15.3176
2005-05-02,15.3176
2005-05-03,15.3176
2005-05-04,15.3176
2005-05-05,15.3176
2005-05-06,15.3176
2005-05-07,15.3176
2005-05-08,15.3176
2005-05-09,15.1333
2005-05-10,15.2369
2005-05-11,15.0497
2005-05-12,14.7095
2005-05-13,14.722
2005-05-14,14.722
2005-05-15,14.722
2005-05-16,14.5298
2005-05-17,14.5299
2005-05-18,14.5369
2005-05-19,14.5342
2005-05-20,14.4966
2005-05-21,14.4966
2005-05-22,14.4966
2005-05-23,14.1405
2005-05-24,14.1172
2005-05-25,14.0848
2005-05-26,13.9072
2005-05-27,13.8111
2005-05-28,13.8111
2005-05-29,13.8111
2005-05-30,13.9142
2005-05-31,13.9267
2005-06-01,13.6166
2005-06-02,13.2979
2005-06-03,13.2579
2005-06-04,13.2579
2005-06-05,13.2579
2005-06-06,13.5708
2005-06-07,13.4916
2005-06-08,14.6294
2005-06-09,14.8302
2005-06-10,14.4963
2005-06-11,14.4963
2005-06-12,14.4963
2005-06-13,14.4609
2005-06-14,14.33
2005-06-15,14.0692
2005-06-16,14.2394
2005-06-17,14.2246
2005-06-18,14.2246
2005-06-19,14.2246
2005-06-20,14.6305
2005-06-21,14.4153
2005-06-22,14.4114
2005-06-23,14.327
2005-06-24,14.4416
2005-06-25,14.4416
2005-06-26,14.4416
2005-06-27,14.7151
2005-06-28,14.5013
2005-06-29,14.4124
2005-06-30,14.0878
2005-07-01,13.5712
2005-07-02,13.5722
2005-07-03,13.5722
2005-07-04,13.5193
2005-07-05,13.3948
2005-07-06,13.3116
2005-07-07,13.3792
2005-07-08,13.158
2005-07-09,13.158
2005-07-10,13.158
2005-07-11,13.0844
2005-07-12,13.5206
2005-07-13,13.4219
2005-07-14,13.4739
2005-07-15,13.3465
2005-07-16,13.3465
2005-07-17,13.3465
2005-07-18,13.2331
2005-07-19,13.2421
2005-07-20,13.3447
2005-07-21,13.3615
2005-07-22,13.6816
2005-07-23,13.6816
2005-07-24,13.6816
2005-07-25,13.6554
2005-07-26,14.0261
2005-07-27,14.2656
2005-07-28,14.2289
2005-07-29,14.1624
2005-07-30,14.1642
2005-07-31,14.1642
2005-08-01,14.2558
2005-08-02,14.4523
2005-08-03,14.4999
2005-08-04,14.4343
2005-08-05,14.7409
2005-08-06,14.7409
2005-08-07,14.7409
