时间,期货持仓量(连续):欧盟排放配额(EUA)
2005-04-25,85000
2005-04-26,39000
2005-04-27,49000
2005-04-28,106000
2005-04-29,94000
2005-05-04,101000
2005-05-05,102000
2005-05-09,122000
2005-05-10,141000
2005-05-11,145000
2005-05-12,150000
2005-05-13,171000
2005-05-16,161000
2005-05-17,161000
2005-05-18,163000
2005-05-19,155000
2005-05-20,146000
2005-05-23,151000
2005-05-24,181000
2005-05-25,176000
2005-05-26,206000
2005-05-27,244000
2005-05-31,238000
2005-06-01,316000
2005-06-02,328000
2005-06-03,366000
2005-06-06,406000
2005-06-07,436000
2005-06-08,440000
2005-06-09,415000
2005-06-10,460000
2005-06-13,576000
2005-06-14,1185000
2005-06-15,1195000
2005-06-16,1265000
2005-06-17,1433000
2005-06-20,1773000
2005-06-21,1978000
2005-06-22,2324000
2005-06-23,2480000
2005-06-24,2570000
2005-06-27,2722000
2005-06-28,2714000
2005-06-29,2710000
2005-06-30,3015000
2005-07-01,3206000
2005-07-04,3609000
2005-07-05,4130000
2005-07-06,4219000
2005-07-07,4356000
2005-07-08,4487000
2005-07-11,4600000
2005-07-12,4665000
2005-07-13,4456000
2005-07-14,4480000
2005-07-15,4997000
2005-07-18,5189000
2005-07-19,5205000
2005-07-20,5222000
2005-07-21,5148000
2005-07-22,5500000
2005-07-25,5624000
2005-07-26,5634000
2005-07-27,5689000
2005-07-28,5649000
2005-07-29,5701000
2005-08-01,5742000
2005-08-02,5808000
2005-08-03,5854000
2005-08-04,5883000
2005-08-05,5819000
2005-08-08,5806000
2005-08-09,5771000
2005-08-10,5773000
2005-08-11,5869000
2005-08-12,5863000
2005-08-15,5928000
2005-08-16,5983000
2005-08-17,6019000
2005-08-18,5993000
2005-08-19,5956000
2005-08-22,5945000
2005-08-23,6050000
2005-08-24,6166004
2005-08-25,6261000
2005-08-26,6381000
2005-08-30,6539000
2005-08-31,6678000
2005-09-01,6868000
2005-09-02,7734000
2005-09-05,7822000
2005-09-06,8063000
2005-09-07,8270000
2005-09-08,8559000
2005-09-09,8385000
2005-09-12,8600000
2005-09-13,8938000
2005-09-14,8560000
2005-09-15,8663000
2005-09-16,8683000
2005-09-19,8869000
2005-09-20,8976000
2005-09-21,9078000
2005-09-22,9339000
2005-09-23,9499000
2005-09-26,9822000
2005-09-27,10009000
2005-09-28,10192000
2005-09-29,10406000
2005-09-30,10308000
2005-10-03,10359000
2005-10-04,10481000
2005-10-05,11233000
2005-10-06,12190000
2005-10-07,12230000
2005-10-10,12785000
2005-10-11,12704000
2005-10-12,13209000
2005-10-13,13174000
2005-10-14,13300000
2005-10-17,13223000
2005-10-18,13320000
2005-10-19,13417000
2005-10-20,13436000
2005-10-21,13836000
2005-10-24,14431000
2005-10-25,14640000
2005-10-26,14687000
2005-10-27,14817000
2005-10-28,14704000
2005-10-31,14657000
2005-11-01,14992000
2005-11-02,15212000
2005-11-03,15430000
2005-11-04,15516000
2005-11-07,15492000
2005-11-08,15654000
2005-11-09,15605000
2005-11-10,15935000
2005-11-11,15951000
2005-11-14,15956000
2005-11-15,16162000
2005-11-16,16766000
2005-11-17,16828000
2005-11-18,16954000
2005-11-21,17067000
2005-11-22,17399000
2005-11-23,17445000
2005-11-24,17991000
2005-11-25,18245000
2005-11-28,18344000
2005-11-29,18222000
2005-11-30,18236000
2005-12-01,18236000
2005-12-02,18530000
2005-12-05,18625000
2005-12-06,18775000
2005-12-07,18603000
2005-12-08,18583000
2005-12-09,18750000
2005-12-12,18646000
2005-12-13,18825000
2005-12-14,18852000
2005-12-15,18842000
2005-12-16,18880000
2005-12-19,14428000
2005-12-20,14604000
2005-12-21,14614000
2005-12-22,14732000
2005-12-23,14907000
2005-12-28,14886000
2005-12-29,14792000
2005-12-30,15002000
2006-01-03,14977000
2006-01-04,14992000
2006-01-05,15166000
2006-01-06,15377000
2006-01-09,16242000
2006-01-10,16519000
2006-01-11,17176000
2006-01-12,17611000
2006-01-13,17800000
2006-01-16,17953000
2006-01-17,18299000
2006-01-18,18414000
2006-01-19,22349000
2006-01-20,23158000
2006-01-23,23552000
2006-01-24,23907000
2006-01-25,24490000
2006-01-26,24996000
2006-01-27,24983000
2006-01-30,24769000
2006-01-31,25348000
2006-02-01,25902000
2006-02-02,26228000
2006-02-03,26108000
2006-02-06,26274000
2006-02-07,26418000
2006-02-08,26583000
2006-02-09,26708000
2006-02-10,26748000
2006-02-13,26712000
2006-02-14,26712000
2006-02-15,27149000
2006-02-16,27216000
2006-02-17,27538000
2006-02-20,28105000
2006-02-21,28511000
2006-02-22,28714001
2006-02-23,28913000
2006-02-24,28930000
2006-02-27,29090000
2006-02-28,29117000
2006-03-01,29226000
2006-03-02,29330000
2006-03-03,29740000
2006-03-06,30157000
2006-03-07,30185000
2006-03-08,30183000
2006-03-09,30410000
2006-03-10,30693000
2006-03-13,31047000
2006-03-14,31256000
2006-03-15,31448000
2006-03-16,31678000
2006-03-17,32382000
2006-03-20,32649000
2006-03-21,32378000
2006-03-22,32622000
2006-03-23,33020000
2006-03-24,33156000
2006-03-27,33328000
2006-03-28,29590000
2006-03-29,29214000
2006-03-30,29305000
2006-03-31,29466000
2006-04-03,29389000
2006-04-04,31075000
2006-04-05,31088000
2006-04-06,31579000
2006-04-07,31387000
2006-04-10,31731000
2006-04-11,32544000
2006-04-12,32899000
2006-04-13,33666000
2006-04-17,33461000
2006-04-18,33698000
2006-04-19,33787000
2006-04-20,33914000
2006-04-21,34128000
2006-04-24,34356000
2006-04-25,35085000
2006-04-26,36338000
2006-04-27,37588000
2006-04-28,38435000
2006-05-01,38248000
2006-05-02,38336000
2006-05-03,37865000
2006-05-04,38298000
2006-05-05,39148000
2006-05-08,39950000
2006-05-09,40199000
2006-05-10,41224000
2006-05-11,42604000
2006-05-12,42649000
2006-05-15,43032000
2006-05-16,44208000
2006-05-17,44906000
2006-05-18,45290000
2006-05-19,45772000
2006-05-22,45775000
2006-05-23,46157000
2006-05-24,46265000
2006-05-25,46392000
2006-05-26,46761000
2006-05-30,46951000
2006-05-31,48062000
2006-06-01,48444000
2006-06-02,48623000
2006-06-05,48598000
2006-06-06,48669000
2006-06-07,49013000
2006-06-08,49178000
2006-06-09,49250000
2006-06-12,48973000
2006-06-13,49159000
2006-06-14,49486000
2006-06-15,49571000
2006-06-16,48670000
2006-06-19,49039000
2006-06-20,49064000
2006-06-21,49460000
2006-06-22,49583000
2006-06-23,49700000
2006-06-26,49865000
2006-06-27,49320000
2006-06-28,49688000
2006-06-29,49626000
2006-06-30,49600000
2006-07-03,49814000
2006-07-04,50040000
2006-07-05,50485000
2006-07-06,50683000
2006-07-07,50780000
2006-07-10,50768000
2006-07-11,51744000
2006-07-12,52266000
2006-07-13,52520000
2006-07-14,53078004
2006-07-17,53347000
2006-07-18,53478000
2006-07-19,54350000
2006-07-20,54350000
