时间,现货结算价:欧盟排放配额(EUA):2021-2030
2020-12-15,33.08
2021-01-25,33.08
2021-01-26,33.27
2021-01-27,33.2
2021-01-28,33.89
2021-01-29,32.89
2021-02-01,32.81
2021-02-02,34.93
2021-02-03,37.38
2021-02-04,37.21
2021-02-05,38.15
2021-02-08,38.56
2021-02-09,38.21
2021-02-10,39.29
2021-02-11,38.71
2021-02-12,39.97
2021-02-15,39.47
2021-02-16,38.82
2021-02-17,38.04
2021-02-18,38.25
2021-02-19,37.34
2021-02-22,37.89
2021-02-23,38.58
2021-02-24,39.06
2021-02-25,38.17
2021-02-26,37.19
2021-03-01,37.04
2021-03-02,38.26
2021-03-03,37.38
2021-03-04,38.07
2021-03-05,38.92
2021-03-08,39.04
2021-03-09,40.54
2021-03-10,41.44
2021-03-11,41.82
2021-03-12,42.74
2021-03-15,42.3
2021-03-16,41.47
2021-03-17,42.82
2021-03-18,42.25
2021-03-19,41.85
2021-03-22,42.72
2021-03-23,41.32
2021-03-24,41.49
2021-03-25,40.25
2021-03-26,41.63
2021-03-29,41.75
2021-03-30,41.95
2021-03-31,42.45
2021-04-01,42.38
2021-04-06,44.15
2021-04-07,43.76
2021-04-08,43.37
2021-04-09,43.55
2021-04-12,44.33
2021-04-13,43.69
2021-04-14,43.74
2021-04-15,44.26
2021-04-16,44.35
2021-04-19,43.82
2021-04-20,44.99
2021-04-21,45.81
2021-04-22,47
2021-04-23,46.87
2021-04-26,47.11
2021-04-27,47.2
2021-04-28,47.69
2021-04-29,47.91
2021-04-30,48.74
2021-05-03,49.32
2021-05-04,48.5
2021-05-05,49.32
2021-05-06,49.82
2021-05-07,50.33
2021-05-10,52.1
2021-05-11,52.91
2021-05-12,55.17
2021-05-13,54.34
2021-05-14,56.5
2021-05-17,56.16
2021-05-18,52.9
2021-05-19,49.55
2021-05-20,52.58
2021-05-21,51.65
2021-05-24,52.68
2021-05-25,53.23
2021-05-26,53.59
2021-05-27,51.76
2021-05-28,50.95
2021-05-31,51.61
2021-06-01,52.31
2021-06-02,51.3
2021-06-03,50.17
2021-06-04,49.9
2021-06-07,51.39
2021-06-08,52.1
2021-06-09,53.43
2021-06-10,53.7
2021-06-11,52.59
2021-06-14,52.81
2021-06-15,51.31
2021-06-16,51.25
2021-06-17,50.82
2021-06-18,51.81
2021-06-21,52.33
2021-06-22,53.32
2021-06-23,54.56
2021-06-24,54.99
2021-06-25,54.95
2021-06-28,55.4
2021-06-29,55.54
2021-06-30,56.25
2021-07-01,57.52
2021-07-02,57.24
2021-07-05,57.76
2021-07-06,53.91
2021-07-07,52.5
2021-07-08,52.24
2021-07-09,54.17
2021-07-12,51.62
2021-07-13,52.77
2021-07-14,53.28
2021-07-15,52.88
2021-07-16,52.78
2021-07-19,52.31
2021-07-20,51.12
2021-07-21,52.06
2021-07-22,50.71
2021-07-23,50.82
2021-07-26,53.12
2021-07-27,52.84
2021-07-28,53.77
2021-07-29,53.99
2021-07-30,53.26
2021-08-02,54.37
2021-08-03,54.12
2021-08-04,55.39
2021-08-05,55.91
2021-08-06,56.58
2021-08-09,56.55
2021-08-10,57.33
2021-08-11,57.69
2021-08-12,56.18
2021-08-13,55.31
2021-08-16,58.08
2021-08-17,57.17
2021-08-18,57.06
2021-08-19,53.43
2021-08-20,54.31
2021-08-23,55.29
2021-08-24,56.58
2021-08-25,56.48
2021-08-26,56.81
2021-08-27,58.95
2021-08-30,60.71
2021-08-31,60.71
2021-09-01,60.07
2021-09-02,61.48
2021-09-03,61.29
2021-09-06,62.27
2021-09-07,61.95
2021-09-08,62.41
2021-09-09,62.7
2021-09-10,60.87
2021-09-13,61.01
2021-09-14,59.8
2021-09-15,59.8
2021-09-16,59.26
2021-09-17,59.43
2021-09-20,60.62
2021-09-21,60.1
2021-09-22,60.54
2021-09-23,60.49
2021-09-24,62.88
2021-09-27,64.32
2021-09-28,61.86
2021-09-29,62.82
2021-09-30,61.68
2021-10-01,61.99
2021-10-04,63.34
2021-10-05,64.66
2021-10-06,59.04
2021-10-07,60.33
2021-10-08,58.31
2021-10-11,59.11
2021-10-12,58.89
2021-10-13,59.04
2021-10-14,61.4
2021-10-15,59.41
2021-10-18,58.54
2021-10-19,54.52
2021-10-20,57.76
2021-10-21,57.96
2021-10-22,58.25
2021-10-25,58.96
2021-10-26,59.78
2021-10-27,59.88
2021-10-28,58.55
2021-10-29,58.7
2021-11-01,56.92
2021-11-02,59.43
2021-11-03,59.8
2021-11-04,59.85
2021-11-05,59.39
2021-11-08,60.62
2021-11-09,60.41
2021-11-10,63.15
2021-11-11,63.69
2021-11-12,63.26
2021-11-15,65.92
2021-11-16,67.54
2021-11-17,67.15
2021-11-18,69.09
2021-11-19,69.35
2021-11-22,69.9
2021-11-23,69.17
2021-11-24,72.9
2021-11-25,74.45
2021-11-26,72.77
2021-11-29,74.18
2021-11-30,75.36
2021-12-01,76.8
2021-12-02,79.85
2021-12-03,78.24
2021-12-06,81.24
2021-12-07,84.89
2021-12-08,88.88
2021-12-09,80.19
2021-12-10,83.73
2021-12-13,82.12
2021-12-14,79.48
2021-12-15,80.5
2021-12-16,84.77
2021-12-17,73.28
2021-12-20,79.38
2021-12-21,80.42
2021-12-22,76.26
2021-12-23,73.92
2021-12-24,73.92
2021-12-27,76.38
2021-12-28,78.75
2021-12-29,79.81
2021-12-30,79.61
2021-12-31,79.61
2022-01-03,83.52
2022-01-04,84.44
2022-01-05,87.15
2022-01-06,86.31
2022-01-07,84.99
2022-01-10,79.73
2022-01-11,80.95
2022-01-12,79.69
2022-01-13,80.23
2022-01-14,81.73
2022-01-17,80.23
2022-01-18,82.31
2022-01-19,81.72
2022-01-20,85.23
2022-01-21,84.11
2022-01-24,83.66
2022-01-25,87.09
2022-01-26,88.3
2022-01-27,89.39
2022-01-28,88.83
2022-01-31,88.8
2022-02-01,89.09
2022-02-02,93.68
2022-02-03,94.32
2022-02-04,95.95
2022-02-07,96.21
2022-02-08,96.41
2022-02-09,90.34
2022-02-10,90.36
2022-02-11,92.45
2022-02-14,91.29
2022-02-15,90.67
2022-02-16,89.34
2022-02-17,85.95
2022-02-18,89.01
2022-02-21,89.26
2022-02-22,89.37
2022-02-23,94.66
2022-02-24,86.62
2022-02-25,87.72
2022-02-28,81.81
2022-03-01,68.53
2022-03-02,68.25
2022-03-03,67.08
2022-03-04,64.78
2022-03-07,57.92
2022-03-08,68.1
2022-03-09,72.77
2022-03-10,76.02
2022-03-11,76.38
2022-03-14,77.88
2022-03-15,77.03
2022-03-16,77.75
2022-03-17,79.52
2022-03-18,78.52
2022-03-21,78.01
2022-03-22,80.29
2022-03-23,76.25
2022-03-24,77.94
2022-03-25,78.31
2022-03-28,80.54
2022-03-29,81.44
2022-03-30,78.04
2022-03-31,76.25
2022-04-01,78.29
2022-04-04,78.29
2022-04-05,77.85
2022-04-06,76.97
2022-04-07,79.73
2022-04-08,79.89
2022-04-11,77.75
2022-04-12,78.81
2022-04-13,77.22
2022-04-14,79.72
