时间,期货成交量(连续):欧盟排放配额(EUA)
2005-04-25,7000
2005-04-26,58000
2005-04-27,112000
2005-04-28,65000
2005-04-29,20000
2005-05-04,1000
2005-05-05,21000
2005-05-09,25000
2005-05-10,101000
2005-05-11,5000
2005-05-12,25000
2005-05-13,15000
2005-05-16,4000
2005-05-17,5000
2005-05-18,77000
2005-05-19,43000
2005-05-20,35000
2005-05-23,200000
2005-05-24,233000
2005-05-25,100000
2005-05-26,51000
2005-05-27,10000
2005-05-31,125000
2005-06-01,40000
2005-06-02,74000
2005-06-03,106000
2005-06-06,45000
2005-06-07,132000
2005-06-08,155000
2005-06-09,71000
2005-06-10,130000
2005-06-13,646000
2005-06-14,85000
2005-06-15,134000
2005-06-16,232000
2005-06-17,537000
2005-06-20,350000
2005-06-21,450000
2005-06-22,241000
2005-06-23,182000
2005-06-24,626000
2005-06-27,310000
2005-06-28,436000
2005-06-29,875000
2005-06-30,468000
2005-07-01,783000
2005-07-04,1150000
2005-07-05,867000
2005-07-06,440000
2005-07-07,457000
2005-07-08,702000
2005-07-11,694000
2005-07-12,319000
2005-07-13,487000
2005-07-14,1192000
2005-07-15,543000
2005-07-18,71000
2005-07-19,90000
2005-07-20,292000
2005-07-21,655000
2005-07-22,741000
2005-07-25,201000
2005-07-26,407000
2005-07-27,417000
2005-07-28,267000
2005-07-29,315000
2005-08-01,272000
2005-08-02,430000
2005-08-03,188000
2005-08-04,189000
2005-08-05,273000
2005-08-08,163000
2005-08-09,152000
2005-08-10,228000
2005-08-11,276000
2005-08-12,361000
2005-08-15,151000
2005-08-16,221000
2005-08-17,243000
2005-08-18,360000
2005-08-19,106000
2005-08-22,224000
2005-08-23,323000
2005-08-24,251000
2005-08-25,350000
2005-08-26,203000
2005-08-30,341000
2005-08-31,328000
2005-09-01,645000
2005-09-02,1422000
2005-09-05,571000
2005-09-06,725000
2005-09-07,702000
2005-09-08,530000
2005-09-09,662000
2005-09-12,496000
2005-09-13,1349000
2005-09-14,1099000
2005-09-15,788000
2005-09-16,1180000
2005-09-19,709000
2005-09-20,726000
2005-09-21,747000
2005-09-22,703000
2005-09-23,977000
2005-09-26,628000
2005-09-27,1215000
2005-09-28,976000
2005-09-29,734000
2005-09-30,350000
2005-10-03,213000
2005-10-04,1106000
2005-10-05,2312000
2005-10-06,1798000
2005-10-07,1225000
2005-10-10,1500000
2005-10-11,1319000
2005-10-12,925000
2005-10-13,536000
2005-10-14,383000
2005-10-17,607000
2005-10-18,842000
2005-10-19,678000
2005-10-20,420000
2005-10-21,962000
2005-10-24,1942000
2005-10-25,782000
2005-10-26,541000
2005-10-27,345000
2005-10-28,231000
2005-10-31,1210000
2005-11-01,545000
2005-11-02,895000
2005-11-03,685000
2005-11-04,438000
2005-11-07,261000
2005-11-08,929000
2005-11-09,761000
2005-11-10,1081000
2005-11-11,501000
2005-11-14,461000
2005-11-15,1018000
2005-11-16,1478000
2005-11-17,340000
2005-11-18,992000
2005-11-21,821000
2005-11-22,1403000
2005-11-23,1314000
2005-11-24,1872000
2005-11-25,1348000
2005-11-28,551000
2005-11-29,819000
2005-11-30,567000
2005-12-01,271000
2005-12-02,1162000
2005-12-05,1149000
2005-12-06,1490000
2005-12-07,1433000
2005-12-08,428000
2005-12-09,585000
2005-12-12,1322000
2005-12-13,823000
2005-12-14,290000
2005-12-15,605000
2005-12-16,531000
2005-12-19,696000
2005-12-20,354000
2005-12-21,250000
2005-12-22,355000
2005-12-23,258000
2005-12-28,40000
2005-12-29,206000
2005-12-30,315000
2006-01-03,508000
2006-01-04,531000
2006-01-05,932000
2006-01-06,835000
2006-01-09,2197000
2006-01-10,945000
2006-01-11,1801000
2006-01-12,1255000
2006-01-13,453000
2006-01-16,448000
2006-01-17,912000
2006-01-18,1239000
2006-01-19,2496000
2006-01-20,1690000
2006-01-23,1718000
2006-01-24,1810000
2006-01-25,1828000
2006-01-26,1000000
2006-01-27,1411000
2006-01-30,1305000
2006-01-31,2421000
2006-02-01,1947000
2006-02-02,1547000
2006-02-03,1558000
2006-02-06,1075000
2006-02-07,2668000
2006-02-08,1103500
2006-02-09,1645000
2006-02-10,1037000
2006-02-13,766000
2006-02-14,1339000
2006-02-15,913000
2006-02-16,685000
2006-02-17,1748000
2006-02-20,1653000
2006-02-21,1240000
2006-02-22,1021000
2006-02-23,1152000
2006-02-24,1101000
2006-02-27,659000
2006-02-28,320000
2006-03-01,269000
2006-03-02,827000
2006-03-03,1345000
2006-03-06,1266000
2006-03-07,837000
2006-03-08,1109000
2006-03-09,1436000
2006-03-10,961000
2006-03-13,1335000
2006-03-14,853000
2006-03-15,729000
2006-03-16,957000
2006-03-17,662000
2006-03-20,748000
2006-03-21,1335000
2006-03-22,784005
2006-03-23,776000
2006-03-24,496000
2006-03-27,708000
2006-03-28,649000
2006-03-29,778000
2006-03-30,757000
2006-03-31,605000
2006-04-03,798000
2006-04-04,3623000
2006-04-05,2001000
2006-04-06,1891000
2006-04-07,766000
2006-04-10,1004000
2006-04-11,1809000
2006-04-12,1838000
2006-04-13,1584000
2006-04-17,0
2006-04-18,1315000
2006-04-19,1514000
2006-04-20,1529000
2006-04-21,709000
2006-04-24,905000
2006-04-25,2702000
2006-04-26,5233000
2006-04-27,7477000
2006-04-28,4224000
