时间,现货成交量:欧盟排放配额(EUA):2021-2030
2020-12-15,0
2020-12-17,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,3000
2021-02-01,1000
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-08,1000
2021-02-09,0
2021-02-10,2000
2021-02-11,0
2021-02-12,0
2021-02-15,5000
2021-02-16,1000
2021-02-17,0
2021-02-18,1000
2021-02-19,2000
2021-02-22,11000
2021-02-23,3000
2021-02-24,5000
2021-02-25,5000
2021-02-26,4000
2021-03-01,2000
2021-03-02,0
2021-03-03,0
2021-03-04,26000
2021-03-05,25000
2021-03-08,3000
2021-03-09,2000
2021-03-10,2000
2021-03-11,2000
2021-03-12,8000
2021-03-15,7000
2021-03-16,34000
2021-03-17,78000
2021-03-18,28000
2021-03-19,29000
2021-03-22,86000
2021-03-23,37000
2021-03-24,45000
2021-03-25,70000
2021-03-26,158000
2021-03-29,1000
2021-03-30,12000
2021-03-31,3000
2021-04-01,41000
2021-04-06,28000
2021-04-07,58000
2021-04-08,23000
2021-04-09,17000
2021-04-12,8000
2021-04-13,51000
2021-04-14,6000
2021-04-15,2000
2021-04-16,31000
2021-04-19,28000
2021-04-20,6000
2021-04-21,6000
2021-04-22,10000
2021-04-23,14000
2021-04-26,39000
2021-04-27,50000
2021-04-28,47000
2021-04-29,48000
2021-04-30,33000
2021-05-03,9000
2021-05-04,15000
2021-05-05,6000
2021-05-06,6000
2021-05-07,19000
2021-05-10,12000
2021-05-11,78000
2021-05-12,120000
2021-05-13,21000
2021-05-14,15000
2021-05-17,46000
2021-05-18,341000
2021-05-19,40000
2021-05-20,23000
2021-05-21,265000
2021-05-24,15000
2021-05-25,36000
2021-05-26,49000
2021-05-27,22000
2021-05-28,10000
2021-05-31,12000
2021-06-01,7000
2021-06-02,12000
2021-06-03,79000
2021-06-04,28000
2021-06-07,73000
2021-06-08,103000
2021-06-09,19000
2021-06-10,56000
2021-06-11,94000
2021-06-14,55000
2021-06-15,108000
2021-06-16,258000
2021-06-17,20000
2021-06-18,11000
2021-06-21,0
2021-06-22,13000
2021-06-23,31000
2021-06-24,1000
2021-06-25,16000
2021-06-28,27000
2021-06-29,156000
2021-06-30,272000
2021-07-01,236000
2021-07-02,5000
2021-07-05,54000
2021-07-06,142000
2021-07-07,362000
2021-07-08,77000
2021-07-09,100000
2021-07-12,107000
2021-07-13,123000
2021-07-14,344000
2021-07-15,78000
2021-07-16,142000
2021-07-19,291000
2021-07-20,197000
2021-07-21,168000
2021-07-22,218000
2021-07-23,211000
2021-07-26,79000
2021-07-27,111000
2021-07-28,19000
2021-07-29,11000
2021-07-30,7000
2021-08-02,29000
2021-08-03,21000
2021-08-04,21000
2021-08-05,18000
2021-08-06,48000
2021-08-09,30000
2021-08-10,11000
2021-08-11,9000
2021-08-12,42000
2021-08-13,157000
2021-08-16,36000
2021-08-17,82000
2021-08-18,259000
2021-08-19,41000
2021-08-20,28000
2021-08-23,47000
2021-08-24,27000
2021-08-25,13000
2021-08-26,4000
2021-08-27,7000
2021-08-30,81000
2021-08-31,19000
2021-09-01,336000
2021-09-02,14000
2021-09-03,59000
2021-09-06,51000
2021-09-07,30000
2021-09-08,46000
2021-09-09,30000
2021-09-10,68000
2021-09-13,18000
2021-09-14,82000
2021-09-15,50000
2021-09-16,26000
2021-09-17,5000
2021-09-20,46000
2021-09-21,15000
2021-09-22,103000
2021-09-23,33000
2021-09-24,30000
2021-09-27,7000
2021-09-28,6000
2021-09-29,373000
2021-09-30,151000
2021-10-01,4000
2021-10-04,86000
2021-10-05,51000
2021-10-06,51000
2021-10-07,59000
2021-10-08,27000
2021-10-11,16000
2021-10-12,24000
2021-10-13,22000
2021-10-14,11000
2021-10-15,26000
2021-10-18,33000
2021-10-19,41000
2021-10-20,38000
2021-10-21,22000
2021-10-22,33000
2021-10-25,14000
2021-10-26,7000
2021-10-27,22000
2021-10-28,49000
2021-10-29,55000
2021-11-01,38000
2021-11-02,50000
2021-11-03,17000
2021-11-04,33000
2021-11-05,50000
2021-11-08,5000
2021-11-09,58000
2021-11-10,48000
2021-11-11,30000
2021-11-12,21000
2021-11-15,57000
2021-11-16,45000
2021-11-17,42000
2021-11-18,182000
2021-11-19,61000
2021-11-22,27000
2021-11-23,27000
2021-11-24,23000
2021-11-25,6000
2021-11-26,182000
2021-11-29,55000
2021-11-30,56000
2021-12-01,16000
2021-12-02,12000
2021-12-03,12000
2021-12-06,49000
2021-12-07,70000
2021-12-08,119000
2021-12-09,37000
2021-12-10,13000
2021-12-13,9000
2021-12-14,116000
2021-12-15,50000
2021-12-16,16000
2021-12-17,45000
2021-12-20,32000
2021-12-21,17000
2021-12-22,136000
2021-12-23,48000
2021-12-24,0
2021-12-27,20000
2021-12-28,16000
2021-12-29,6000
2021-12-30,5000
2021-12-31,0
2022-01-03,2000
2022-01-04,33000
2022-01-05,51000
2022-01-06,16000
2022-01-07,24000
2022-01-10,545000
2022-01-11,162000
2022-01-12,109000
2022-01-13,186000
2022-01-14,8000
2022-01-17,99000
2022-01-18,77000
2022-01-19,147000
2022-01-20,64000
2022-01-21,14000
2022-01-24,49000
2022-01-25,17000
2022-01-26,29000
2022-01-27,14000
2022-01-28,17000
2022-01-31,47000
2022-02-01,90000
2022-02-02,39000
2022-02-03,21000
2022-02-04,31000
2022-02-07,49000
2022-02-08,50000
2022-02-09,46000
2022-02-10,56000
2022-02-11,35000
2022-02-14,53000
2022-02-15,34000
2022-02-16,91000
2022-02-17,70000
2022-02-18,34000
2022-02-21,10000
2022-02-22,27000
2022-02-23,71000
2022-02-24,148000
2022-02-25,59000
2022-02-28,18000
2022-03-01,60000
2022-03-02,236000
2022-03-03,38000
2022-03-04,41000
2022-03-07,44000
2022-03-08,32000
2022-03-09,19000
