时间,CFETS:即期汇率:欧元兑人民币
1992-02-07,7.143299999999999
1992-02-10,7.0524
1992-02-11,6.9864
1992-02-12,6.9507
1992-02-13,6.8922
1992-02-14,6.878499999999999
1992-02-17,6.8938
1992-02-18,6.808
1992-02-19,6.812899999999999
1992-02-20,6.8074
1992-02-21,6.7642
1992-02-24,6.7735
1992-02-25,6.75
1992-02-26,6.8036
1992-02-27,6.848700000000001
1992-02-28,6.8284
1992-03-02,6.8126
1992-03-03,6.7562
1992-03-04,6.721100000000001
1992-03-05,6.6992
1992-03-06,6.7178
1992-03-09,6.7419
1992-03-10,6.706899999999999
1992-03-11,6.7403
1992-03-12,6.705699999999999
1992-03-13,6.705299999999999
1992-03-16,6.736
1992-03-17,6.8
1992-03-18,6.7598
1992-03-19,6.690099999999999
1992-03-20,6.7038
1992-03-23,6.7252
1992-03-24,6.734
1992-03-25,6.7792
1992-03-26,6.736300000000001
1992-03-27,6.8104
1992-03-30,6.7879000000000005
1992-03-31,6.7967
1992-04-01,6.7606
1992-04-02,6.796099999999999
1992-04-03,6.8644
1992-04-06,6.8699
1992-04-07,6.889100000000001
1992-04-08,6.8644
1992-04-09,6.9002
1992-04-10,6.8346
1992-04-13,6.812499999999999
1992-04-14,6.8043000000000005
1992-04-15,6.8022
1992-04-16,6.780099999999999
1992-04-17,6.7812
1992-04-20,6.791100000000001
1992-04-21,6.786700000000001
1992-04-22,6.8176
1992-04-23,6.8298
1992-04-24,6.8482
1992-04-27,6.8402
1992-04-28,6.846499999999999
1992-04-29,6.822099999999999
1992-04-30,6.8628
1992-05-01,6.892899999999999
1992-05-04,6.8695
1992-05-05,6.9102
1992-05-06,6.9659
1992-05-07,6.938300000000001
1992-05-08,6.8961
1992-05-11,6.9186
1992-05-12,6.9836
1992-05-13,7.0288
1992-05-14,6.9856
1992-05-15,7.0219000000000005
1992-05-18,7.0816
1992-05-19,7.0926
1992-05-20,7.0604
1992-05-21,6.9903
1992-05-22,6.996099999999999
1992-05-25,6.9924
1992-05-26,6.9979000000000005
1992-05-27,6.8996
1992-05-28,6.946
1992-05-29,7.0204
1992-06-01,7.0218
1992-06-02,6.969500000000001
1992-06-03,7.0062
1992-06-04,7.0636
1992-06-05,7.068499999999999
1992-06-08,7.076300000000001
1992-06-09,7.0572
1992-06-10,7.0654
1992-06-11,7.1158
1992-06-12,7.1158
1992-06-15,7.1514
1992-06-16,7.173500000000001
1992-06-17,7.1256
1992-06-18,7.1554
1992-06-19,7.133500000000001
1992-06-22,7.171900000000001
1992-06-23,7.157500000000001
1992-06-24,7.239299999999999
1992-06-25,7.2834
1992-06-26,7.2952
1992-06-29,7.3542
1992-06-30,7.344899999999999
1992-07-01,7.346499999999999
1992-07-02,7.4148
1992-07-03,7.369699999999999
1992-07-06,7.393
1992-07-07,7.507699999999999
1992-07-08,7.501100000000001
1992-07-09,7.3766
1992-07-10,7.4566
1992-07-13,7.5573
1992-07-14,7.4983
1992-07-15,7.502700000000001
1992-07-16,7.53
1992-07-17,7.6088
1992-07-20,7.414
1992-07-21,7.4575000000000005
1992-07-22,7.442499999999999
1992-07-23,7.46
1992-07-24,7.3468
1992-07-27,7.471500000000001
1992-07-28,7.501
1992-07-29,7.4601
1992-07-30,7.4878
1992-07-31,7.4948
1992-08-03,7.5002
1992-08-04,7.501500000000001
1992-08-05,7.477900000000001
1992-08-06,7.520700000000001
1992-08-07,7.5724
1992-08-10,7.586099999999999
1992-08-11,7.567
1992-08-12,7.5774
1992-08-13,7.610099999999999
1992-08-14,7.5551
1992-08-17,7.5616
1992-08-18,7.597500000000001
1992-08-19,7.604099999999999
1992-08-20,7.6367
1992-08-21,7.716
1992-08-24,7.801500000000001
1992-08-25,7.7984
1992-08-26,7.7668
1992-08-27,7.7501
1992-08-28,7.7501
1992-08-31,7.790700000000001
1992-09-01,7.858700000000001
1992-09-02,7.825699999999999
1992-09-03,7.7678
1992-09-04,7.894099999999999
1992-09-07,7.8932
1992-09-08,7.9435
1992-09-09,7.819500000000001
1992-09-10,7.8212
1992-09-11,7.669
1992-09-14,7.5016
1992-09-15,7.42
1992-09-16,7.165
1992-09-17,7.3321
1992-09-18,7.172300000000001
1992-09-21,7.294499999999999
1992-09-22,7.141699999999999
1992-09-23,7.221500000000001
1992-09-24,7.2272
1992-09-25,7.2878
1992-09-28,7.47
1992-09-29,7.650499999999999
1992-09-30,7.623
1992-10-01,7.5821
1992-10-02,7.5821
1992-10-05,7.504
1992-10-06,7.520899999999999
1992-10-07,7.4238
1992-10-08,7.286499999999999
1992-10-09,7.2876
1992-10-12,7.3375
1992-10-13,7.382099999999999
1992-10-14,7.4208
1992-10-15,7.431299999999999
1992-10-16,7.2906
1992-10-19,7.1964
1992-10-20,7.1722
1992-10-21,7.1367
1992-10-22,7.213100000000001
1992-10-23,7.128099999999999
1992-10-26,7.1137
1992-10-27,7.1294
1992-10-28,7.060499999999999
1992-10-29,7.089900000000001
1992-10-30,7.0678
1992-11-02,6.9714
1992-11-03,6.981299999999999
1992-11-04,6.9668
1992-11-05,6.906700000000001
1992-11-06,6.8544
1992-11-09,6.8422
1992-11-10,6.877699999999999
1992-11-11,6.9011000000000005
1992-11-12,6.9357
1992-11-13,6.9678
1992-11-16,6.8896999999999995
1992-11-17,6.8964
1992-11-18,6.8953
1992-11-19,6.9974
1992-11-20,6.9692
1992-11-23,6.9414
1992-11-24,6.9860999999999995
1992-11-25,7.0147
1992-11-26,6.9728
1992-11-27,6.974099999999999
1992-11-30,7.0422
1992-12-01,7.1322
1992-12-02,7.1402
1992-12-03,7.107500000000001
1992-12-04,7.1474
1992-12-07,7.300700000000001
1992-12-08,7.348300000000001
1992-12-09,7.2579
1992-12-10,7.2484
1992-12-11,7.2656
1992-12-14,7.303299999999999
1992-12-15,7.364
1992-12-16,7.399299999999999
1992-12-17,7.3928
1992-12-18,7.303699999999999
1992-12-21,7.2421
1992-12-22,7.1103000000000005
1992-12-23,7.086899999999999
1992-12-24,7.028700000000001
1992-12-25,7.028700000000001
1992-12-28,6.930899999999999
1992-12-29,6.953900000000001
1992-12-30,6.939
1992-12-31,6.929500000000001
1993-01-04,6.8498
1993-01-05,6.9252
1993-01-06,6.9062
1993-01-07,6.900499999999999
1993-01-08,6.8602
1993-01-11,6.9431
1993-01-12,6.9384999999999994
1993-01-13,6.9667
1993-01-14,6.958099999999999
1993-01-15,6.917699999999999
1993-01-18,7.011100000000001
1993-01-19,7.0186
1993-01-20,7.0566
1993-01-21,7.020700000000001
1993-01-22,7.1154
1993-01-25,7.184099999999999
1993-01-26,7.1789
1993-01-27,7.1119
1993-01-28,7.1096
1993-01-29,6.993500000000001
1993-02-01,6.8908
1993-02-02,6.871100000000001
1993-02-03,6.8232
1993-02-04,6.7908
1993-02-05,6.798
1993-02-08,6.815900000000001
1993-02-09,6.817100000000001
1993-02-10,6.7864
1993-02-11,6.793900000000001
1993-02-12,6.7922
1993-02-15,6.788099999999999
1993-02-16,6.902099999999999
1993-02-17,6.910499999999999
1993-02-18,6.8867
1993-02-19,6.8324
1993-02-22,6.862499999999999
1993-02-23,6.8408999999999995
1993-02-24,6.8222
1993-02-25,6.7872
1993-02-26,6.761900000000001
1993-03-01,6.7376
1993-03-02,6.7958
1993-03-03,6.7608
1993-03-04,6.792300000000001
1993-03-05,6.6898
1993-03-08,6.7024
1993-03-09,6.6806
1993-03-10,6.6772
1993-03-11,6.6927
1993-03-12,6.6754
1993-03-15,6.7036
1993-03-16,6.7033
1993-03-17,6.7108
1993-03-18,6.7884
1993-03-19,6.793900000000001
1993-03-22,6.7856
1993-03-23,6.8157
1993-03-24,6.7656
1993-03-25,6.7536
1993-03-26,6.7913
1993-03-29,6.815900000000001
1993-03-30,6.849900000000001
1993-03-31,6.9028
1993-04-01,6.964300000000001
1993-04-02,6.9474
1993-04-05,6.9566
1993-04-06,6.9011000000000005
1993-04-07,6.8708
1993-04-08,6.9328
1993-04-09,6.9374
1993-04-12,6.9892
1993-04-13,7.0249
1993-04-14,6.966099999999999
1993-04-15,6.9182
1993-04-16,6.874300000000001
1993-04-19,6.939100000000001
1993-04-20,6.9474
1993-04-21,6.940300000000001
1993-04-22,6.9858
1993-04-23,7.0177
1993-04-26,7.0826
1993-04-27,7.0114
1993-04-28,7.0716
1993-04-29,7.071299999999999
1993-04-30,7.038499999999999
1993-05-03,7.061299999999999
1993-05-04,7.081
1993-05-05,7.0699000000000005
1993-05-06,7.0984
1993-05-07,7.0476
1993-05-10,6.9386
1993-05-11,6.9540999999999995
1993-05-12,6.9449
1993-05-13,6.913500000000001
1993-05-14,6.9765
1993-05-17,6.9347
1993-05-18,6.908
1993-05-19,6.9086
1993-05-20,6.9361
1993-05-21,6.907500000000001
1993-05-24,6.8622
1993-05-25,6.8868
1993-05-26,6.890899999999999
1993-05-27,6.977900000000001
1993-05-28,7.0438
1993-05-31,7.0131000000000006
1993-06-01,7.0467
1993-06-02,6.9911
1993-06-03,7.003699999999999
1993-06-04,6.8514
1993-06-07,6.8863
1993-06-08,6.8674
1993-06-09,6.8303
1993-06-10,6.858300000000001
1993-06-11,6.857100000000001
1993-06-14,6.8588
1993-06-15,6.819500000000001
1993-06-16,6.790700000000001
1993-06-17,6.789
1993-06-18,6.706499999999999
1993-06-21,6.689900000000001
1993-06-22,6.6542
1993-06-23,6.670300000000001
1993-06-24,6.6116
1993-06-25,6.6064
1993-06-28,6.6542
1993-06-29,6.6865
1993-06-30,6.608700000000001
1993-07-01,6.666300000000001
1993-07-02,6.6484
1993-07-05,6.6480999999999995
1993-07-06,6.617299999999999
1993-07-07,6.611
1993-07-08,6.612099999999999
1993-07-09,6.528
1993-07-12,6.4952
1993-07-13,6.545299999999999
1993-07-14,6.546499999999999
1993-07-15,6.5142
1993-07-16,6.521699999999999
1993-07-19,6.5678
1993-07-20,6.600899999999999
1993-07-21,6.604099999999999
1993-07-22,6.568899999999999
1993-07-23,6.4998
1993-07-26,6.49
1993-07-27,6.4782
1993-07-28,6.511299999999999
1993-07-29,6.4194
1993-07-30,6.299900000000001
1993-08-02,6.399
1993-08-03,6.437
1993-08-04,6.484300000000001
1993-08-05,6.456899999999999
1993-08-06,6.4929
1993-08-09,6.454
1993-08-10,6.390300000000001
1993-08-11,6.425
1993-08-12,6.4294
1993-08-13,6.421900000000001
1993-08-16,6.516700000000001
1993-08-17,6.5114
1993-08-18,6.564700000000001
1993-08-19,6.547299999999999
1993-08-20,6.6028
1993-08-23,6.566700000000001
1993-08-24,6.586899999999999
1993-08-25,6.552499999999999
1993-08-26,6.5985
1993-08-27,6.6057
1993-08-30,6.5871
1993-08-31,6.5871
1993-09-01,6.6293
1993-09-02,6.663500000000001
1993-09-03,6.7416
1993-09-06,6.798099999999999
1993-09-07,6.7778
1993-09-08,6.7749
1993-09-09,6.8342
1993-09-10,6.866099999999999
1993-09-13,6.8672
1993-09-14,6.8464
1993-09-15,6.8912
1993-09-16,6.8588
1993-09-17,6.816300000000001
1993-09-20,6.842300000000001
1993-09-21,6.8108
1993-09-22,6.7532
1993-09-23,6.7171
1993-09-24,6.729500000000001
1993-09-27,6.7636
1993-09-28,6.8128
1993-09-29,6.8154
1993-09-30,6.7228
1993-10-01,6.7315000000000005
1993-10-04,6.769100000000001
1993-10-05,6.7526
1993-10-06,6.7584
1993-10-07,6.7428
1993-10-08,6.812499999999999
1993-10-11,6.8128
1993-10-12,6.8632
1993-10-13,6.8342
1993-10-14,6.7749
1993-10-15,6.7662
1993-10-18,6.691
1993-10-19,6.6880999999999995
1993-10-20,6.7011
1993-10-21,6.6114
1993-10-22,6.5684
1993-10-25,6.547
1993-10-26,6.571299999999999
1993-10-27,6.560300000000001
1993-10-28,6.5799
1993-10-29,6.5536
1993-11-01,6.5304
1993-11-02,6.5304
1993-11-03,6.5536
1993-11-04,6.5489
1993-11-05,6.555299999999999
1993-11-08,6.5738
1993-11-09,6.5391
1993-11-10,6.5592999999999995
1993-11-11,6.537299999999999
1993-11-12,6.5784
1993-11-15,6.553
1993-11-16,6.518300000000001
1993-11-17,6.5264
1993-11-18,6.5184999999999995
1993-11-19,6.499299999999999
1993-11-22,6.533500000000001
1993-11-23,6.5364
1993-11-24,6.5417
1993-11-25,6.5248
1993-11-26,6.510300000000001
1993-11-29,6.5318
1993-11-30,6.5016
1993-12-01,6.473699999999999
1993-12-02,6.4755
1993-12-03,6.4958
1993-12-06,6.58
1993-12-07,6.565500000000001
1993-12-08,6.565500000000001
1993-12-09,6.5643
1993-12-10,6.6002
1993-12-13,6.563
1993-12-14,6.5444
1993-12-15,6.535100000000001
1993-12-16,6.5572
1993-12-17,6.5618
1993-12-20,6.558
1993-12-21,6.581
1993-12-22,6.5908999999999995
1993-12-23,6.6292
1993-12-24,6.6292
1993-12-27,6.601299999999999
1993-12-28,6.6066
1993-12-29,6.494300000000001
1993-12-30,6.4746
1993-12-31,6.4554
1994-01-04,9.724
1994-01-05,9.7084
1994-01-06,9.6814
1994-01-07,9.7458
1994-01-10,9.707500000000001
1994-01-11,9.6796
1994-01-12,9.7257
1994-01-13,9.65
1994-01-14,9.6413
1994-01-17,9.6248
1994-01-18,9.6701
1994-01-19,9.6631
1994-01-20,9.7022
1994-01-21,9.6413
1994-01-24,9.6509
1994-01-25,9.6838
1994-01-26,9.6918
1994-01-27,9.7701
1994-01-28,9.7014
1994-01-31,9.7527
1994-02-01,9.7668
1994-02-02,9.7504
1994-02-03,9.7148
1994-02-04,9.625
1994-02-07,9.628
1994-02-08,9.6051
1994-02-09,9.669699999999999
1994-02-10,9.6417
1994-02-11,9.626
1994-02-14,9.769699999999998
1994-02-15,9.7375
1994-02-16,9.7754
1994-02-17,9.788300000000001
1994-02-18,9.823699999999999
1994-02-21,9.735299999999999
1994-02-22,9.780899999999999
1994-02-23,9.748899999999999
1994-02-24,9.8109
1994-02-25,9.838099999999999
1994-02-28,9.8485
1994-03-01,9.8333
1994-03-02,9.868
1994-03-03,9.8378
1994-03-04,9.8005
1994-03-07,9.8097
1994-03-08,9.8214
1994-03-09,9.867500000000001
1994-03-10,9.9836
1994-03-11,9.9789
1994-03-14,9.9464
1994-03-15,9.9085
1994-03-16,9.9484
1994-03-17,9.941699999999999
1994-03-18,9.8963
1994-03-21,9.9206
1994-03-22,9.9259
1994-03-23,9.9746
1994-03-24,10.0505
1994-03-25,10.0412
