时间,中间价:欧元兑人民币
1999-01-04,9.7252
1999-01-05,9.78985
1999-01-06,9.7379
1999-01-07,9.63485
1999-01-08,9.698550000000001
1999-01-11,9.578249999999999
1999-01-12,9.51335
1999-01-13,9.57605
1999-01-14,9.6716
1999-01-15,9.6732
1999-01-18,9.5784
1999-01-19,9.6038
1999-01-20,9.60785
1999-01-21,9.572750000000001
1999-01-22,9.603900000000001
1999-01-25,9.5888
1999-01-26,9.564449999999999
1999-01-27,9.57225
1999-01-28,9.473500000000001
1999-01-29,9.4487
1999-02-01,9.428
1999-02-02,9.35975
1999-02-03,9.3942
1999-02-04,9.364849999999999
1999-02-05,9.3874
1999-02-08,9.3241
1999-02-09,9.36765
1999-02-10,9.36585
1999-02-11,9.37235
1999-02-12,9.28685
1999-02-13,9.3579
1999-02-14,9.335500000000001
1999-02-15,9.350249999999999
1999-02-23,9.126
1999-02-24,9.1162
1999-02-25,9.1128
1999-02-26,9.1333
1999-03-01,9.09445
1999-03-02,9.0202
1999-03-03,9.06125
1999-03-04,9.003
1999-03-05,8.944700000000001
1999-03-08,8.95765
1999-03-09,9.0117
1999-03-10,9.01385
1999-03-11,9.05825
1999-03-12,9.14115
1999-03-15,9.021500000000001
1999-03-16,9.0447
1999-03-17,9.104750000000001
1999-03-18,9.09925
1999-03-19,9.089699999999999
1999-03-22,9.033150000000001
1999-03-23,9.02885
1999-03-24,9.02715
1999-03-25,9.0086
1999-03-26,8.97035
1999-03-29,8.90185
1999-03-30,8.88535
1999-03-31,8.8782
1999-04-01,8.92295
1999-04-02,8.940700000000001
1999-04-05,8.926
1999-04-06,8.8769
1999-04-07,8.97395
1999-04-08,8.9218
1999-04-09,8.89385
1999-04-12,8.96315
1999-04-13,8.9458
1999-04-14,8.92095
1999-04-15,8.9496
1999-04-16,8.8522
1999-04-19,8.83835
1999-04-20,8.82465
1999-04-21,8.7928
1999-04-22,8.763449999999999
1999-04-23,8.8081
1999-04-26,8.77925
1999-04-27,8.76195
1999-04-28,8.82545
1999-04-29,8.8019
1999-04-30,8.7894
1999-05-04,8.74595
1999-05-05,8.8005
1999-05-06,8.903550000000001
1999-05-07,8.9343
1999-05-10,8.8797
1999-05-11,8.9261
1999-05-12,8.86885
1999-05-13,8.816
1999-05-14,8.82245
1999-05-17,8.83925
1999-05-18,8.8532
1999-05-19,8.8399
1999-05-20,8.83295
1999-05-21,8.79
1999-05-24,8.743649999999999
1999-05-25,8.77895
1999-05-26,8.7872
1999-05-27,8.65155
1999-05-28,8.63185
1999-05-31,8.65115
1999-06-01,8.62815
1999-06-02,8.646899999999999
1999-06-03,8.5788
1999-06-04,8.5437
1999-06-07,8.5823
1999-06-08,8.5277
1999-06-09,8.65455
1999-06-10,8.6664
1999-06-11,8.677900000000001
1999-06-14,8.6833
1999-06-15,8.63145
1999-06-16,8.63195
1999-06-17,8.5321
1999-06-18,8.56305
1999-06-21,8.5948
1999-06-22,8.56795
1999-06-23,8.5484
1999-06-24,8.55695
1999-06-25,8.61275
1999-06-28,8.6086
1999-06-29,8.552
1999-06-30,8.550550000000001
1999-07-01,8.57795
1999-07-02,8.4752
1999-07-05,8.4838
1999-07-06,8.4654
1999-07-07,8.4839
1999-07-08,8.43515
1999-07-09,8.4598
1999-07-12,8.43955
1999-07-13,8.40135
1999-07-14,8.417
1999-07-15,8.4479
1999-07-16,8.44345
1999-07-19,8.43005
1999-07-20,8.540099999999999
1999-07-21,8.611699999999999
1999-07-22,8.704
1999-07-23,8.694049999999999
1999-07-26,8.709249999999999
1999-07-27,8.8096
1999-07-28,8.8022
1999-07-29,8.82905
1999-07-30,8.869100000000001
1999-08-02,8.85805
1999-08-03,8.84375
1999-08-04,8.8418
1999-08-05,8.9218
1999-08-06,8.901950000000001
1999-08-09,8.8766
1999-08-10,8.8713
1999-08-11,8.8606
1999-08-12,8.818950000000001
1999-08-13,8.83535
1999-08-16,8.752099999999999
1999-08-17,8.76035
1999-08-18,8.69955
1999-08-19,8.712150000000001
1999-08-20,8.800899999999999
1999-08-23,8.8324
1999-08-24,8.6832
1999-08-25,8.7228
1999-08-26,8.63285
1999-08-27,8.6589
1999-08-30,8.677900000000001
1999-08-31,8.688899999999999
1999-09-01,8.7459
1999-09-02,8.754249999999999
1999-09-03,8.84225
1999-09-06,8.75555
1999-09-07,8.75065
1999-09-08,8.76685
1999-09-09,8.770150000000001
1999-09-10,8.719
1999-09-13,8.57705
1999-09-14,8.61945
1999-09-15,8.5697
1999-09-16,8.6142
1999-09-17,8.6016
1999-09-20,8.6146
1999-09-21,8.58295
1999-09-22,8.68515
1999-09-23,8.63655
1999-09-24,8.70435
1999-09-28,8.6591
1999-09-29,8.70875
1999-09-30,8.8118
1999-10-08,8.86345
1999-10-09,8.799900000000001
1999-10-10,8.8013
1999-10-11,8.7869
1999-10-12,8.8016
1999-10-13,8.9167
1999-10-14,8.9511
1999-10-15,8.9193
1999-10-18,9.02125
1999-10-19,8.952449999999999
1999-10-20,8.96225
1999-10-21,8.9098
1999-10-22,8.94185
1999-10-25,8.84845
1999-10-26,8.83735
1999-10-27,8.77065
1999-10-28,8.710849999999999
1999-10-29,8.70765
1999-11-01,8.7314
1999-11-02,8.70425
1999-11-03,8.71435
1999-11-04,8.68165
1999-11-05,8.5884
1999-11-08,8.64835
1999-11-09,8.602
1999-11-10,8.6112
1999-11-11,8.6473
1999-11-12,8.6143
1999-11-15,8.54745
1999-11-16,8.55335
1999-11-17,8.533900000000001
1999-11-18,8.62125
1999-11-19,8.523
1999-11-22,8.531
1999-11-23,8.5438
1999-11-24,8.50855
1999-11-25,8.43375
1999-11-26,8.42665
1999-11-29,8.4056
1999-11-30,8.36335
1999-12-01,8.35465
1999-12-02,8.348049999999999
1999-12-03,8.29745
1999-12-06,8.30105
1999-12-07,8.4665
1999-12-08,8.4893
1999-12-09,8.512550000000001
1999-12-10,8.45585
1999-12-13,8.3917
1999-12-14,8.3962
1999-12-15,8.3266
1999-12-16,8.3369
1999-12-17,8.42925
1999-12-21,8.3949
1999-12-22,8.3504
1999-12-23,8.35285
1999-12-24,8.409500000000001
1999-12-27,8.38705
1999-12-28,8.390099999999999
1999-12-29,8.339699999999999
1999-12-30,8.321950000000001
2000-01-03,8.325
2000-01-04,8.49135
2000-01-05,8.5279
2000-01-06,8.5489
2000-01-07,8.55125
2000-01-10,8.5191
2000-01-11,8.4926
2000-01-12,8.55725
2000-01-13,8.5363
2000-01-14,8.4959
2000-01-17,8.38485
2000-01-18,8.3803
2000-01-19,8.392700000000001
2000-01-20,8.390649999999999
2000-01-21,8.4164
2000-01-24,8.29565
2000-01-25,8.33975
2000-01-26,8.28815
2000-01-27,8.29225
2000-01-28,8.17895
2000-01-31,8.09845
2000-02-01,8.03805
2000-02-02,8.03775
2000-02-03,8.0836
2000-02-04,8.1974
2000-02-12,8.18275
2000-02-13,8.18235
2000-02-14,8.16595
2000-02-15,8.09665
2000-02-16,8.121649999999999
2000-02-17,8.16425
2000-02-18,8.17495
2000-02-21,8.15015
2000-02-22,8.17405
2000-02-23,8.30955
2000-02-24,8.30945
2000-02-25,8.2018
2000-02-28,8.0667
2000-02-29,8.03855
2000-03-01,7.98225
2000-03-02,8.05175
2000-03-03,7.993100000000001
2000-03-06,7.9266
2000-03-07,7.934899999999999
2000-03-08,7.9344
2000-03-09,7.95575
2000-03-10,8.005500000000001
2000-03-13,7.9693
2000-03-14,7.97555
2000-03-15,8.01685
2000-03-16,8.006300000000001
2000-03-17,8.024849999999999
