时间,期货收盘价(连续):NYMEX天然气
1990-04-03,1.635
1990-04-04,1.62
1990-04-05,1.615
1990-04-06,1.625
1990-04-09,1.637
1990-04-10,1.62
1990-04-11,1.605
1990-04-12,1.598
1990-04-16,1.598
1990-04-17,1.585
1990-04-18,1.583
1990-04-19,1.57
1990-04-20,1.543
1990-04-23,1.555
1990-04-24,1.555
1990-04-25,1.552
1990-04-26,1.558
1990-04-27,1.555
1990-04-30,1.565
1990-05-01,1.565
1990-05-02,1.575
1990-05-03,1.575
1990-05-04,1.575
1990-05-07,1.58
1990-05-08,1.583
1990-05-09,1.576
1990-05-10,1.574
1990-05-11,1.565
1990-05-14,1.556
1990-05-15,1.553
1990-05-16,1.57
1990-05-17,1.57
1990-05-18,1.554
1990-05-21,1.557
1990-05-30,1.585
1990-05-31,1.59
1990-06-01,1.585
1990-06-04,1.582
1990-06-05,1.567
1990-06-06,1.56
1990-06-07,1.573
1990-06-08,1.575
1990-06-11,1.572
1990-06-12,1.558
1990-06-13,1.545
1990-06-14,1.547
1990-06-15,1.547
1990-06-18,1.54
1990-06-19,1.536
1990-06-20,1.51
1990-06-28,1.515
1990-06-29,1.519
1990-07-02,1.519
1990-07-03,1.525
1990-07-05,1.514
1990-07-06,1.498
1990-07-09,1.493
1990-07-10,1.5
1990-07-11,1.5
1990-07-12,1.502
1990-07-13,1.5
1990-07-16,1.495
1990-07-17,1.462
1990-07-18,1.45
1990-07-19,1.445
1990-07-20,1.426
1990-07-23,1.46
1990-07-24,1.44
1990-07-25,1.44
1990-07-26,1.435
1990-07-27,1.439
1990-07-30,1.43
1990-07-31,1.411
1990-08-01,1.402
1990-08-02,1.432
1990-08-03,1.51
1990-08-06,1.588
1990-08-07,1.477
1990-08-08,1.475
1990-08-09,1.47
1990-08-10,1.49
1990-08-13,1.465
1990-08-14,1.448
1990-08-15,1.428
1990-08-16,1.43
1990-08-17,1.44
1990-08-20,1.417
1990-08-21,1.42
1990-08-22,1.428
1990-08-23,1.545
1990-08-24,1.525
1990-08-27,1.502
1990-08-28,1.5
1990-08-29,1.505
1990-08-30,1.537
1990-08-31,1.5
1990-09-04,1.51
1990-09-05,1.514
1990-09-06,1.53
1990-09-07,1.51
1990-09-10,1.525
1990-09-11,1.525
1990-09-12,1.543
1990-09-13,1.54
1990-09-14,1.52
1990-09-17,1.537
1990-09-18,1.56
1990-09-19,1.555
1990-09-20,1.846
1990-09-21,1.872
1990-09-24,1.936
1990-09-25,1.93
1990-09-26,1.945
1990-09-27,1.94
1990-09-28,1.935
1990-10-01,1.909
1990-10-02,1.88
1990-10-03,1.915
1990-10-04,1.898
1990-10-05,1.935
1990-10-08,1.93
1990-10-09,1.94
1990-10-10,1.94
1990-10-11,1.96
1990-10-12,1.95
1990-10-15,1.9
1990-10-16,1.91
1990-10-17,1.9
1990-10-18,1.89
1990-10-19,1.9
1990-10-22,1.97
