时间,深圳_SZA市场成交均价_碳排放权,深圳_SZA市场当日成交量_碳排放权,深圳_累计成交量_碳排放权,深圳_累计成交额_碳排放权,深圳_收盘价_碳排放权,深圳_CCER产品当日成交额_碳排放权,深圳_CCER产品当日成交量_碳排放权,深圳_CCER产品成交均价_碳排放权,深圳_SZA市场当日成交额_碳排放权
2022-08-04,40.18,5993,51492563,1.22240997844E9,39.99,240801.97,7005,20.1,40300
2022-08-19,51.52,145581,53374550,1.31005119504E9,51,7500543.95,20498,61.66,30706.68
2022-08-22,50.67,137052,53511602,1.31699598346E9,54.96,6944788.42,10588,6.95,4088.97
2022-08-28,52.92,3791,54138915,1.34970705989E9,53.98,200615.74,5100,52,265200
2022-09-02,47.93,3,54442550,1.36306723691E9,47,143.8,5100,56.16,286416
2022-10-13,52.56,1502,54750390,1.37826298617E9,52.6,78951.76,5526,59,29500
2022-10-18,48.24,105004,54855995,1.38335992648E9,53,5065209.21,5503,50,25000
2022-11-16,55.01,2105,54950554,1.38837092811E9,61.99,115792.59,100,75,7500
2023-02-24,55.6,2600,55883120,1.43750991629E9,55.95,144556.76,18,1,18
2023-03-01,57.84,4,55929924,1.44009399063E9,57.02,231.34,5,5204,26020
2023-03-02,58.5,1,55929925,1.44009404913E9,58.5,58.5,5,20.2,101
2023-03-03,57.98,612,55930537,1.44012953011E9,58.49,35480.98,33,68.19,2250.16
2023-03-06,57.34,4100,55934637,1.44036462911E9,58.5,235099,33,2645.46,87300.04
2023-03-07,55.93,7371,55942008,1.44077686611E9,58.5,412237,33,48,1584
2023-03-10,59.5,16201,55974826,1.44247077982E9,57,964005.59,229,80,18320
2023-03-28,60.36,1382,56059738,1.44682065006E9,60.36,83416.1,10,176.9,1769
2023-03-29,42.92,12235,56071973,1.44734578636E9,58.5,525136.3,2510,103.31,259302
2023-03-30,40.95,15001,56086974,1.44796009736E9,58.5,614311,100,65,6500
2023-03-31,60.23,1402,56088376,1.44804453506E9,60.23,84437.7,1900,50.01,95019
2023-04-03,45.68,12300,56100676,1.44860643506E9,61,561900,6912,179.87,343911
2023-04-04,61,1,56100677,1.44860649606E9,61,61,2346,55.01,129053.46
2023-04-06,58.61,6470,56107147,1.44898569206E9,58.61,379196,2545,164.25,418024
2023-04-10,61.8,450,56107597,1.44901350206E9,61.54,27810,1042,128.39,133782
2023-04-11,59.02,1158,56108755,1.44908184722E9,59.02,68345.16,1042,64.82,67542
2023-04-12,55.91,39776,56148531,1.45130570901E9,55.91,2223861.79,15090,163,14670
2023-04-13,57.76,11565,56160096,1.45197367456E9,57.76,667965.55,15090,30,2700
2023-04-24,61.61,9916,56186061,1.45353270701E9,61.61,610941.76,100,61,6100
2023-04-25,61.77,6710,56192771,1.45394720011E9,61.77,414493.1,13,62,806
2023-05-04,61.52,116400,56313321,1.46136538061E9,62.72,7160900,11078,52,50856
2023-05-17,65,3944,56473252,1.47095115785E9,65,256350,4,45,180
2023-05-19,66,5117,56488038,1.47192573866E9,66,337711.5,3,45,135
2023-05-22,65.21,1700,56489738,1.47203658866E9,65.21,110850,11802,60.2,108484.25
2023-05-24,59.94,78300,56590426,1.47818582216E9,63.74,4693603,309,61.27,18931.2
2023-05-25,54.15,126100,56716526,1.48501420016E9,63.78,6828378,2,60,120
2023-05-26,65,1001,56717527,1.48507926276E9,65,65062.6,95,51.45,4888
2023-06-05,67.06,3245,56749727,1.48717970706E9,67.06,217599.46,100,58.99,5899
2023-06-14,63.24,101,56771800,1.48861025733E9,63.24,6387,200,60,12000
2023-06-20,63.65,6110,56780240,1.48914870273E9,63.65,388919.4,1,80,80
2023-06-28,61.04,4162,56802437,1.49052847321E9,61.04,254046,3,75,225
2023-07-06,61.76,146300,56974592,1.50121197197E9,63.06,9035280,4997,52,259844
2023-07-20,60.09,99061,57145869,1.5117505345E9,63.69,5952835.3,5,61.5,307.5
