国家,中国,中国,中国,中国,中国,中国
指标名称,广东:成交均价:碳排放权配额(GDEA),广东:收盘价:碳排放权配额(GDEA),广东:当日成交量:碳排放权配额(GDEA),广东:累计成交量:碳排放权配额(GDEA),广东:当日成交额:碳排放权配额(GDEA),广东:累计成交额:碳排放权配额(GDEA)
频率,日,日,日,日,日,日
单位,元/吨,元/吨,吨,吨,元,元
指标ID,S6301318,S6301317,S6301319,S6301321,S6301320,S6301322
时间区间,2013-12-19:2026-01-08,2013-12-19:2026-01-12,2013-12-19:2026-01-08,2013-12-19:2026-01-12,2013-12-19:2026-01-08,2013-12-19:2026-01-12
来源,广州碳排放权交易所,广州碳排放权交易所,广州碳排放权交易所,广州碳排放权交易所,广州碳排放权交易所,广州碳排放权交易所
2021-07-12,44.37,43.34,959665,170625455,4.25785777E7,3.39643075962E9
2021-07-13,42.48,43.29,730337,171355792,3.102242957E7,3.42745318919E9
2021-07-14,43.15,43.48,496329,171852121,2.141526216E7,3.44886845135E9
2021-07-15,43.97,43.97,255331,172107452,1.122653645E7,3.4600949878E9
2021-07-16,41.37,44.06,808099,172915551,3.343458024E7,3.49352956804E9
2021-07-19,42.69,44.25,486894,173402445,2.078712518E7,3.51431669322E9
2021-07-20,45.01,45.01,87675,173490120,3946145.09,3.51826283831E9
2021-07-21,45.51,45.51,1666,173491786,75817.47,3.51833865578E9
2021-07-22,44.36,44.36,23197,173514983,1029048.41,3.51936770419E9
2021-07-23,43.48,43.48,15094,173530077,656301.13,3.52002400532E9
2021-07-26,42.2,42.2,29558,173559635,1247255.86,3.52127126118E9
2021-07-27,40.12,40.12,1038,173560673,41647.46,3.52131290864E9
2021-07-28,40.25,40.25,30966,173591639,1246504.18,3.52255941282E9
2021-07-29,39.96,40.41,24737,173616376,988530.74,3.52354794356E9
2021-07-30,35.78,40.18,489723,174106099,1.752387602E7,3.54107181958E9
2021-08-02,35.55,40.25,156504,174262603,5564315.38,3.54663613496E9
2021-08-03,33.17,40.2,102368,174364971,3395199.28,3.55003133424E9
2021-08-04,40.09,40.09,5222,174370193,209358.16,3.5502406924E9
2021-08-05,40.55,40.55,4807,174375000,194919.12,3.55043561152E9
2021-08-06,38.95,40.42,99384,174474384,3870974.79,3.55430658631E9
2021-08-09,40.38,40.57,12345,174486729,498541.06,3.55480512737E9
2021-08-10,39.22,39.22,55602,174542331,2180745.72,3.55698587309E9
2021-08-11,40.32,40.05,102634,174644965,4138482.49,3.56112435558E9
2021-08-12,39.62,39.62,1234,174646199,48890.55,3.56117324613E9
2021-08-13,38.48,38.48,72664,174718863,2795786.93,3.56396903306E9
2021-08-16,38.52,38.52,2485,174721348,95725.18,3.56406475824E9
2021-08-17,38.17,38.17,14557,174735905,555572.58,3.56462033082E9
2021-08-18,37.48,37.48,24724,174760629,926558.39,3.56554688921E9
2021-08-19,38.74,38.74,1089,174761718,42182.69,3.5655890719E9
2021-08-20,38.28,38.28,5600,174767318,214375.94,3.56580344784E9
2021-08-23,38.24,38.24,7917,174775235,302750.99,3.56610619883E9
2021-08-24,37.58,38.11,57997,174833232,2179776.2,3.56828597503E9
2021-08-25,39.28,39.28,58836,174892068,2311096.13,3.57059707116E9
2021-08-26,37.59,38.05,59124,174951192,2222257.12,3.57281932828E9
2021-08-27,39.7,39.7,50330,175001522,1997869.2,3.57481719748E9
2021-08-30,37.73,38.74,51372,175052894,1938146.7,3.57675534418E9
2021-08-31,39.89,39.89,52780,175105674,2105186.21,3.57886053039E9
2021-09-01,38.22,38.22,2265,175107939,86564.09,3.57894709448E9
2021-09-02,38.44,38.44,3474,175111413,133550.43,3.57908064491E9
2021-09-03,38.49,38.49,8698,175120111,334787.17,3.57941543208E9
2021-09-06,38.42,39,3473,175123584,133446.7,3.57954887878E9
2021-09-07,38.71,38.71,3113,175126697,120503.33,3.57966938211E9
2021-09-08,40.41,40.41,1603,175128300,64771.1,3.57973415321E9
2021-09-09,39.66,39.66,5548,175133848,220016.98,3.57995417019E9
2021-09-10,38.67,38.67,5314,175139162,205516.54,3.58015968673E9
2021-09-13,38.59,39.04,2265,175141427,87401.24,3.58024708797E9
2021-09-14,40.77,40.77,666,175142093,27152.7,3.58027424067E9
2021-09-15,39.25,40.95,1162,175143255,45608.11,3.58031984878E9
2021-09-16,41.27,41.27,1766,175145021,72879.17,3.58039272795E9
2021-09-17,41.25,41.25,4879,175149900,201276.72,3.58059400467E9
2021-09-18,,,,175149900,,3.58059400467E9
2021-09-22,41.81,41.81,4211,175154111,176057.1,3.58077006177E9
2021-09-23,41.88,41.88,1663,175155774,69651.06,3.58083971283E9
2021-09-24,41.39,41.39,76890,175232664,3182828.29,3.58402254112E9
2021-09-26,,,,175232664,,3.58402254112E9
2021-09-27,42.81,42.81,6270,175238934,268416.98,3.5842909581E9
2021-09-28,42.88,42.91,17888,175256822,767004.54,3.58505796264E9
2021-09-29,43.65,43.65,11814,175268636,515701.73,3.58557366437E9
2021-09-30,43.7,43.7,4019,175272655,175630.6,3.58574929497E9
2021-10-08,43.93,43.93,12243,175284898,537801.69,3.58628709666E9
2021-10-09,,,,175284898,,3.58628709666E9
2021-10-11,44.87,44.87,3789,175288687,170022.65,3.58645711931E9
2021-10-12,44.23,44.23,1212,175289899,53606.13,3.58651072544E9
2021-10-13,43.88,43.88,9818,175299717,430768.06,3.5869414935E9
2021-10-14,43.36,43.36,39163,175338880,1697933.04,3.58863942654E9
2021-10-15,42.75,42.75,5600,175344480,239411.96,3.5888788385E9
2021-10-18,42.91,42.91,2646,175347126,113533.06,3.58899237156E9
2021-10-19,42.21,43.45,904,175348030,38160.12,3.58903053168E9
2021-10-20,43.62,43.62,2601,175350631,113455.09,3.58914398677E9
2021-10-21,43.67,43.67,1557,175352188,67999.13,3.5892119859E9
2021-10-22,43.15,43.57,2481,175354669,107051,3.5893190369E9
2021-10-25,43.39,43.39,1996,175356665,86614.08,3.58940565098E9
2021-10-26,43.12,43.12,1955,175358620,84298.19,3.58948994917E9
2021-10-27,42.92,43.14,1569,175360189,67340.57,3.58955728974E9
2021-10-28,42.61,42.61,2583,175362772,110068.46,3.5896673582E9
2021-10-29,43.36,43.36,5000,175367772,216807.83,3.58988416603E9
2021-11-01,43.51,43.51,17708,175385480,770439.49,3.59065460552E9
2021-11-02,43.13,43.13,1640,175387120,70733.8,3.59072533932E9
2021-11-03,43.36,43.36,1279,175388399,55460.05,3.59078079937E9
2021-11-04,42.54,42.54,5805,175394204,246973.68,3.59102777305E9
2021-11-05,42.52,42.52,6778,175400982,288221.54,3.59131599459E9
2021-11-08,43.23,43.23,1832,175402814,79203.6,3.59139519819E9
2021-11-09,43.3,43.3,1624,175404438,70321.46,3.59146551965E9
2021-11-10,43.84,43.84,6575,175411013,288261.58,3.59175378123E9
2021-11-11,43.5,43.5,7949,175418962,345810.24,3.59209959147E9
2021-11-12,44.01,44.01,2500,175421462,110035.6,3.59220962707E9
2021-11-15,43.34,43.67,5566,175427028,241211.9,3.59245083897E9
2021-11-16,43.52,43.52,156267,175583295,6801049.68,3.59925188865E9
2021-11-17,44.97,44.49,156229,175739524,7026209.41,3.60627809806E9
2021-11-18,43.86,43.86,102901,175842425,4513305.82,3.61079140388E9
2021-11-19,46.78,44.42,110000,175952425,5145532.74,3.61593693662E9
2021-11-22,44.87,44.87,27331,175979756,1226352.52,3.61716328914E9
2021-11-23,43.02,44.89,2473,175982229,106387.15,3.61726967629E9
2021-11-24,45.23,45.23,7626,175989855,344918.71,3617614595
2021-11-25,45.16,45.16,3911,175993766,176635.74,3.61779123074E9
2021-11-26,45.11,45.44,3359,175997125,151537.25,3.61794276799E9
2021-11-29,45.08,45.08,7127,176004252,321320.07,3.61826408806E9
2021-11-30,45.4,45.4,18609,176022861,844907.66,3.61910899572E9
2021-12-01,45.28,45.28,20832,176043693,943371.97,3.62005236769E9
2021-12-02,46.37,46.37,12121,176055814,562083.94,3.62061445163E9
2021-12-03,46.99,46.99,24742,176080556,1162559.55,3.62177701118E9
2021-12-06,47.34,47.51,14045,176094601,664925.75,3.62244193693E9
