国家,英国,英国
指标名称,期货收盘价(连续):IPE鹿特丹煤炭,期货结算价(连续):IPE鹿特丹煤炭
频率,日,日
单位,美元/吨,美元/吨
指标ID,S0202719,S0202718
时间区间,2008-11-25:2026-01-12,2008-11-25:2026-01-12
来源,ICE,ICE
2008-11-25,87.9,87.9
2008-11-26,88.55,88.55
2008-11-27,92.4,92.4
2008-11-28,91.65,91.65
2008-12-01,86.95,86.95
2008-12-02,85.8,85.8
2008-12-03,84.45,84.45
2008-12-04,82.4,82.4
2008-12-05,79.6,79.6
2008-12-08,82.75,82.75
2008-12-09,83.4,83.4
2008-12-10,86.1,86.1
2008-12-11,92.35,92.35
2008-12-12,88.9,88.9
2008-12-15,91.4,91.4
2008-12-16,89.6,89.6
2008-12-17,90.95,90.95
2008-12-18,89.9,89.9
2008-12-19,90.15,90.15
2008-12-22,90,90
2008-12-23,90,90
2008-12-24,89.6,89.6
2008-12-26,89.6,89.6
2008-12-29,91.15,91.15
2008-12-30,91.1,91.1
2008-12-31,91.4,91.4
2009-01-02,89.05,89.05
2009-01-05,90.4,90.4
2009-01-06,95.35,95.35
2009-01-07,93.2,93.2
2009-01-08,90.65,90.65
2009-01-09,87.55,87.55
2009-01-12,82.15,82.15
2009-01-13,82.25,82.25
2009-01-14,82.15,82.15
2009-01-15,83.6,83.6
2009-01-16,81.2,81.2
2009-01-19,78,78
2009-01-20,76.5,76.5
2009-01-21,75.15,75.15
2009-01-22,75.95,75.95
2009-01-23,76.55,76.55
2009-01-26,78.9,78.9
2009-01-27,79.4,79.4
2009-01-28,81.05,81.05
2009-01-29,81.4,81.4
2009-01-30,82.2,82.2
2009-02-02,81.05,81.05
2009-02-03,80.3,80.3
2009-02-04,80.95,80.95
2009-02-05,81.55,81.55
2009-02-06,81.45,81.45
2009-02-09,88,88
2009-02-10,85.5,85.5
2009-02-11,81.8,81.8
2009-02-12,80.35,80.35
2009-02-13,80.65,80.65
2009-02-16,78.3,78.3
2009-02-17,77.4,77.4
2009-02-18,77.15,77.15
2009-02-19,77.9,77.9
2009-02-20,75.45,75.45
2009-02-23,71.15,71.15
2009-02-24,68.85,68.85
2009-02-25,69.3,69.3
2009-02-26,72.3,72.3
2009-02-27,69.75,69.75
2009-03-02,67.6,67.6
2009-03-03,68.45,68.45
2009-03-04,70.8,70.8
2009-03-05,69.6,69.6
2009-03-06,70.4,70.4
2009-03-09,70.9,70.9
2009-03-10,70.7,70.7
2009-03-11,69.3,69.3
2009-03-12,67.75,67.75
2009-03-13,68.35,68.35
2009-03-16,66.6,66.6
2009-03-17,67.55,67.55
2009-03-18,67.75,67.75
2009-03-19,70.95,70.95
2009-03-20,72.65,72.65
2009-03-23,78.75,78.75
2009-03-24,79.35,79.35
2009-03-25,77.25,77.25
2009-03-26,80.15,80.15
2009-03-27,79,79
2009-03-30,75.5,75.5
2009-03-31,76.75,76.75
2009-04-01,77.5,77.5
2009-04-02,80.6,80.6
2009-04-03,80.1,80.1
2009-04-06,81,81
2009-04-07,78.25,78.25
2009-04-08,77.55,77.55
2009-04-09,78.45,78.45
2009-04-14,79.8,79.8
2009-04-15,79.15,79.15
2009-04-16,79.8,79.8
2009-04-17,79.3,79.3
2009-04-20,77.1,77.1
2009-04-21,75,75
2009-04-22,74.5,74.5
2009-04-23,73.8,73.8
2009-04-24,75.3,75.3
2009-04-27,73.1,73.1
2009-04-28,73.45,73.45
2009-04-29,72.7,72.7
2009-04-30,74.7,74.7
2009-05-01,74.25,74.25
2009-05-05,75.4,75.4
2009-05-06,75.52,75.52
2009-05-07,77.39,77.39
2009-05-08,77.54,77.54
2009-05-11,76.46,76.46
2009-05-12,75.15,75.15
2009-05-13,75.8,75.8
2009-05-14,74.6,74.6
2009-05-15,74.45,74.45
2009-05-18,75.65,75.65
2009-05-19,77.6,77.6
2009-05-20,77.6,77.6
2009-05-21,76.5,76.5
2009-05-22,76.85,76.85
2009-05-26,76.66,76.66
2009-05-27,77.69,77.69
2009-05-28,78.6,78.6
2009-05-29,79.79,79.79
2009-06-01,82.55,82.55
2009-06-02,84.1,84.1
2009-06-03,82.85,82.85
2009-06-04,84.8,84.8
2009-06-05,85.3,85.3
2009-06-08,85.25,85.25
2009-06-09,86.65,86.65
2009-06-10,87.8,87.8
2009-06-11,87.85,87.85
2009-06-12,87,87
2009-06-15,84.4,84.4
2009-06-16,85.35,85.35
2009-06-17,80.8,80.8
2009-06-18,80.05,80.05
2009-06-19,79.85,79.85
2009-06-22,75.35,75.35
2009-06-23,76.95,76.95
2009-06-24,77.95,77.95
2009-06-25,79.21,79.21
2009-06-26,79.85,79.85
2009-06-29,79.2,79.2
2009-06-30,77.9,77.9
2009-07-01,77.95,77.95
2009-07-02,76.3,76.3
2009-07-03,77,77
2009-07-06,76.25,76.25
2009-07-07,76.1,76.1
2009-07-08,76.9,76.9
2009-07-09,77.5,77.5
2009-07-10,78.3,78.3
