国家,美国,美国,美国,美国
指标名称,期货收盘价(连续):NYMEX天然气,期货收盘价(活跃合约):NYMEX轻质原油,期货结算价(活跃合约):NYMEX轻质原油,期货收盘价(连续):NYMEX轻质原油
频率,日,日,日,日
单位,美元/百万英热单位,美元/桶,美元/桶,美元/桶
指标ID,S0069682,S0180896,S0180938,S0147004
时间区间,1990-04-03:2026-01-12,1988-03-31:2026-01-12,1988-03-31:2026-01-12,1986-07-01:2026-01-12
来源,NYMEX,NYMEX,NYMEX,NYMEX
1986-07-01,,,,12.38
1986-07-02,,,,11.99
1986-07-07,,,,11.19
1986-07-08,,,,11.22
1986-07-09,,,,10.77
1986-07-10,,,,11.25
1986-07-11,,,,11.13
1986-07-14,,,,11.04
1986-07-15,,,,12.11
1986-07-16,,,,12.61
1986-07-17,,,,12.4
1986-07-18,,,,12.86
1986-07-21,,,,13.09
1986-07-22,,,,11.07
1986-07-23,,,,11.07
1986-07-24,,,,11.07
1986-07-25,,,,10.9
1986-07-28,,,,11.07
1986-07-29,,,,11.41
1986-07-30,,,,11.73
1986-07-31,,,,11.15
1986-08-01,,,,11.55
1986-08-04,,,,13.29
1986-08-05,,,,15.02
1986-08-06,,,,14.97
1986-08-07,,,,15.32
1986-08-08,,,,14.83
1986-08-11,,,,14.91
1986-08-12,,,,15.35
1986-08-13,,,,15.28
1986-08-14,,,,15.42
1986-08-15,,,,15.82
1986-08-18,,,,15.61
1986-08-19,,,,14.87
1986-08-20,,,,15.26
1986-08-21,,,,15.26
1986-08-22,,,,15.26
1986-08-25,,,,15.51
1986-08-26,,,,15.83
1986-08-27,,,,15.79
1986-08-28,,,,15.81
1986-08-29,,,,15.9
1986-09-02,,,,16.46
1986-09-03,,,,16.13
1986-09-04,,,,16.21
1986-09-05,,,,16.37
1986-09-08,,,,15.62
1986-09-09,,,,15.27
1986-09-10,,,,14.88
1986-09-11,,,,14.99
1986-09-12,,,,15.06
1986-09-15,,,,14.34
1986-09-16,,,,13.97
1986-09-17,,,,14
