国家,,英国,俄罗斯,俄罗斯,,
指标名称,期货结算价(连续):布伦特原油,全球:现货价:原油(英国布伦特Dtd),期货收盘价(活跃合约):MICEX 布伦特原油,期货结算价(活跃合约):MICEX 布伦特原油,全球:名义商品价格:布伦特原油,全球:实际市场价格:现货原油:英国布伦特
频率,日,日,日,日,月,月
单位,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶
指标ID,S0031525,S5111905,S0260036,S0260035,G1060821,G8403844
时间区间,1988-06-23:2026-01-12,2001-12-26:2026-01-12,2008-10-08:2026-01-12,2008-10-08:2026-01-12,1960-01:2025-12,1980-01:2025-11
来源,根据新闻整理,金联创,根据新闻整理,根据新闻整理,世界银行,国际货币基金组织
1960-01-31,,,,,1.63,
1960-02-29,,,,,1.63,
1960-03-31,,,,,1.63,
1960-04-30,,,,,1.63,
1960-05-31,,,,,1.63,
1960-06-30,,,,,1.63,
1960-07-31,,,,,1.63,
1960-08-31,,,,,1.63,
1960-09-30,,,,,1.63,
1960-10-31,,,,,1.63,
1960-11-30,,,,,1.63,
1960-12-31,,,,,1.63,
1961-01-31,,,,,1.57,
1961-02-28,,,,,1.57,
1961-03-31,,,,,1.57,
1961-04-30,,,,,1.57,
1961-05-31,,,,,1.57,
1961-06-30,,,,,1.57,
1961-07-31,,,,,1.57,
1961-08-31,,,,,1.57,
1961-09-30,,,,,1.57,
1961-10-31,,,,,1.57,
1961-11-30,,,,,1.57,
1961-12-31,,,,,1.57,
1962-01-31,,,,,1.52,
1962-02-28,,,,,1.52,
1962-03-31,,,,,1.52,
1962-04-30,,,,,1.52,
1962-05-31,,,,,1.52,
1962-06-30,,,,,1.52,
1962-07-31,,,,,1.52,
1962-08-31,,,,,1.52,
1962-09-30,,,,,1.52,
1962-10-31,,,,,1.52,
1962-11-30,,,,,1.52,
1962-12-31,,,,,1.52,
1963-01-31,,,,,1.5,
1963-02-28,,,,,1.5,
1963-03-31,,,,,1.5,
1963-04-30,,,,,1.5,
1963-05-31,,,,,1.5,
1963-06-30,,,,,1.5,
1963-07-31,,,,,1.5,
1963-08-31,,,,,1.5,
1963-09-30,,,,,1.5,
1963-10-31,,,,,1.5,
1963-11-30,,,,,1.5,
1963-12-31,,,,,1.5,
1964-01-31,,,,,1.45,
1964-02-29,,,,,1.45,
1964-03-31,,,,,1.45,
1964-04-30,,,,,1.45,
1964-05-31,,,,,1.45,
1964-06-30,,,,,1.45,
1964-07-31,,,,,1.45,
1964-08-31,,,,,1.45,
1964-09-30,,,,,1.45,
1964-10-31,,,,,1.45,
1964-11-30,,,,,1.45,
1964-12-31,,,,,1.45,
1965-01-31,,,,,1.42,
1965-02-28,,,,,1.42,
1965-03-31,,,,,1.42,
1965-04-30,,,,,1.42,
1965-05-31,,,,,1.42,
1965-06-30,,,,,1.42,
1965-07-31,,,,,1.42,
1965-08-31,,,,,1.42,
1965-09-30,,,,,1.42,
1965-10-31,,,,,1.42,
1965-11-30,,,,,1.42,
1965-12-31,,,,,1.42,
1966-01-31,,,,,1.36,
1966-02-28,,,,,1.36,
1966-03-31,,,,,1.36,
1966-04-30,,,,,1.36,
1966-05-31,,,,,1.36,
1966-06-30,,,,,1.36,
1966-07-31,,,,,1.36,
1966-08-31,,,,,1.36,
1966-09-30,,,,,1.36,
1966-10-31,,,,,1.36,
1966-11-30,,,,,1.36,
1966-12-31,,,,,1.36,
1967-01-31,,,,,1.33,
1967-02-28,,,,,1.33,
1967-03-31,,,,,1.33,
1967-04-30,,,,,1.33,
1967-05-31,,,,,1.33,
1967-06-30,,,,,1.33,
1967-07-31,,,,,1.33,
1967-08-31,,,,,1.33,
1967-09-30,,,,,1.33,
1967-10-31,,,,,1.33,
1967-11-30,,,,,1.33,
1967-12-31,,,,,1.33,
1968-01-31,,,,,1.32,
1968-02-29,,,,,1.32,
1968-03-31,,,,,1.32,
1968-04-30,,,,,1.32,
1968-05-31,,,,,1.32,
1968-06-30,,,,,1.32,
1968-07-31,,,,,1.32,
1968-08-31,,,,,1.32,
1968-09-30,,,,,1.32,
1968-10-31,,,,,1.32,
1968-11-30,,,,,1.32,
1968-12-31,,,,,1.32,
1969-01-31,,,,,1.27,
1969-02-28,,,,,1.27,
1969-03-31,,,,,1.27,
1969-04-30,,,,,1.27,
1969-05-31,,,,,1.27,
1969-06-30,,,,,1.27,
1969-07-31,,,,,1.27,
1969-08-31,,,,,1.27,
1969-09-30,,,,,1.27,
1969-10-31,,,,,1.27,
1969-11-30,,,,,1.27,
1969-12-31,,,,,1.27,
1970-01-31,,,,,1.21,
1970-02-28,,,,,1.21,
1970-03-31,,,,,1.21,
1970-04-30,,,,,1.21,
1970-05-31,,,,,1.21,
1970-06-30,,,,,1.21,
1970-07-31,,,,,1.21,
1970-08-31,,,,,1.21,
1970-09-30,,,,,1.21,
1970-10-31,,,,,1.21,
1970-11-30,,,,,1.21,
1970-12-31,,,,,1.21,
1971-01-31,,,,,1.64,
1971-02-28,,,,,1.64,
1971-03-31,,,,,1.64,
1971-04-30,,,,,1.64,
1971-05-31,,,,,1.64,
1971-06-30,,,,,1.64,
1971-07-31,,,,,1.74,
1971-08-31,,,,,1.74,
1971-09-30,,,,,1.74,
1971-10-31,,,,,1.74,
1971-11-30,,,,,1.74,
1971-12-31,,,,,1.74,
1972-01-31,,,,,1.77,
1972-02-29,,,,,1.77,
1972-03-31,,,,,1.77,
1972-04-30,,,,,1.77,
1972-05-31,,,,,1.77,
1972-06-30,,,,,1.77,
1972-07-31,,,,,1.87,
1972-08-31,,,,,1.87,
1972-09-30,,,,,1.87,
1972-10-31,,,,,1.87,
1972-11-30,,,,,1.87,
1972-12-31,,,,,1.87,
1973-01-31,,,,,2.08,
1973-02-28,,,,,2.08,
1973-03-31,,,,,2.08,
1973-04-30,,,,,2.35,
1973-05-31,,,,,2.35,
1973-06-30,,,,,2.35,
1973-07-31,,,,,2.7,
1973-08-31,,,,,2.7,
1973-09-30,,,,,2.7,
1973-10-31,,,,,4.1,
1973-11-30,,,,,4.1,
1973-12-31,,,,,4.1,
1974-01-31,,,,,13,
1974-02-28,,,,,13,
1974-03-31,,,,,13,
1974-04-30,,,,,10.6,
1974-05-31,,,,,10.6,
1974-06-30,,,,,10.6,
1974-07-31,,,,,10,
1974-08-31,,,,,10,
1974-09-30,,,,,10,
1974-10-31,,,,,10.3,
1974-11-30,,,,,10.3,
1974-12-31,,,,,10.3,
1975-01-31,,,,,10.42,
1975-02-28,,,,,10.42,
1975-03-31,,,,,10.42,
1975-04-30,,,,,10.42,
1975-05-31,,,,,10.42,
1975-06-30,,,,,10.42,
1975-07-31,,,,,10.43,
1975-08-31,,,,,10.43,
1975-09-30,,,,,10.43,
1975-10-31,,,,,10.46,
1975-11-30,,,,,10.46,
1975-12-31,,,,,10.46,
1976-01-31,,,,,11.51,
1976-02-29,,,,,11.51,
1976-03-31,,,,,11.51,
1976-04-30,,,,,11.51,
1976-05-31,,,,,11.51,
1976-06-30,,,,,11.51,
1976-07-31,,,,,11.6,
1976-08-31,,,,,11.6,
1976-09-30,,,,,11.6,
1976-10-31,,,,,11.9,
1976-11-30,,,,,11.9,
1976-12-31,,,,,11.9,
1977-01-31,,,,,12.5,
1977-02-28,,,,,12.5,
