国家,,中国,中国,中国,中国
指标名称,欧元兑美元,中间价:欧元兑人民币,CFETS:即期汇率:欧元兑人民币,平均汇率:欧元兑人民币,基准汇率:欧元兑人民币
频率,日,日,日,月,日
单位,,,,,
指标ID,M0000200,M0000186,M0067856,M0010045,M0325689
时间区间,1975-01-02:2026-01-12,1999-01-04:2026-01-13,1992-02-07:2026-01-12,1990-01:2025-12,1999-01-04:2026-01-13
来源,洲际交易所,中国人民银行,中国外汇交易中心(2009年后),中国人民银行,中国人民银行
1975-01-02,1.3101,,,,
1975-01-03,1.3184,,,,
1975-01-06,1.3291,,,,
1975-01-07,1.3316,,,,
1975-01-08,1.3238,,,,
1975-01-09,1.3243,,,,
1975-01-10,1.3273,,,,
1975-01-13,1.3263,,,,
1975-01-14,1.3179,,,,
1975-01-15,1.3224,,,,
1975-01-16,1.3252,,,,
1975-01-17,1.3268,,,,
1975-01-20,1.3328,,,,
1975-01-21,1.3357,,,,
1975-01-22,1.3484,,,,
1975-01-23,1.3506,,,,
1975-01-24,1.3543,,,,
1975-01-27,1.3654,,,,
1975-01-28,1.3593,,,,
1975-01-29,1.3461,,,,
1975-01-30,1.3481,,,,
1975-01-31,1.3472,,,,
1975-02-03,1.3423,,,,
1975-02-04,1.3301,,,,
1975-02-05,1.331,,,,
1975-02-06,1.3342,,,,
1975-02-07,1.3374,,,,
1975-02-10,1.3439,,,,
1975-02-11,1.3445,,,,
1975-02-12,1.3464,,,,
1975-02-13,1.3545,,,,
1975-02-14,1.3547,,,,
1975-02-17,1.3585,,,,
1975-02-18,1.3576,,,,
1975-02-19,1.3559,,,,
1975-02-20,1.3631,,,,
1975-02-21,1.3641,,,,
1975-02-24,1.3733,,,,
1975-02-25,1.3691,,,,
1975-02-26,1.3782,,,,
1975-02-27,1.3841,,,,
1975-02-28,1.3847,,,,
1975-03-03,1.3862,,,,
1975-03-04,1.3787,,,,
1975-03-05,1.3801,,,,
1975-03-06,1.3744,,,,
1975-03-07,1.3615,,,,
1975-03-10,1.3622,,,,
1975-03-11,1.3719,,,,
1975-03-12,1.3628,,,,
1975-03-13,1.3644,,,,
1975-03-14,1.3682,,,,
1975-03-17,1.3687,,,,
1975-03-18,1.374,,,,
1975-03-19,1.3776,,,,
1975-03-20,1.3729,,,,
1975-03-21,1.3686,,,,
1975-03-24,1.3648,,,,
1975-03-25,1.3631,,,,
1975-03-26,1.36,,,,
1975-03-27,1.3561,,,,
1975-04-01,1.3604,,,,
1975-04-02,1.3607,,,,
1975-04-03,1.3559,,,,
1975-04-04,1.3455,,,,
1975-04-07,1.3463,,,,
1975-04-08,1.3504,,,,
1975-04-09,1.3497,,,,
1975-04-10,1.341,,,,
1975-04-11,1.3425,,,,
1975-04-14,1.3385,,,,
1975-04-15,1.3434,,,,
1975-04-16,1.3448,,,,
1975-04-17,1.3454,,,,
1975-04-18,1.3459,,,,
1975-04-21,1.3439,,,,
1975-04-22,1.3464,,,,
1975-04-23,1.3552,,,,
1975-04-24,1.3536,,,,
1975-04-25,1.3481,,,,
1975-04-28,1.345,,,,
1975-04-29,1.3503,,,,
1975-04-30,1.3525,,,,
1975-05-01,1.353,,,,
1975-05-02,1.3504,,,,
1975-05-05,1.3554,,,,
1975-05-06,1.3567,,,,
1975-05-07,1.3613,,,,
1975-05-08,1.3682,,,,
1975-05-09,1.3648,,,,
1975-05-12,1.3641,,,,
1975-05-13,1.3755,,,,
1975-05-14,1.3723,,,,
1975-05-15,1.3618,,,,
1975-05-16,1.3643,,,,
1975-05-19,1.368,,,,
1975-05-20,1.3676,,,,
1975-05-21,1.3751,,,,
1975-05-22,1.3786,,,,
1975-05-23,1.3776,,,,
1975-05-27,1.3784,,,,
1975-05-28,1.3791,,,,
1975-05-29,1.3748,,,,
1975-05-30,1.3708,,,,
1975-06-02,1.3714,,,,
1975-06-03,1.3767,,,,
1975-06-04,1.3742,,,,
1975-06-05,1.3746,,,,
1975-06-06,1.3731,,,,
1975-06-09,1.3712,,,,
1975-06-10,1.3734,,,,
1975-06-11,1.3765,,,,
1975-06-12,1.3774,,,,
1975-06-13,1.3757,,,,
1975-06-16,1.3778,,,,
1975-06-17,1.3789,,,,
1975-06-18,1.3753,,,,
1975-06-19,1.374,,,,
1975-06-20,1.3748,,,,
1975-06-23,1.3716,,,,
1975-06-24,1.371,,,,
1975-06-25,1.3719,,,,
1975-06-26,1.3702,,,,
1975-06-27,1.3663,,,,
1975-06-30,1.3622,,,,
