国家,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国
指标名称,沪深300指数,沪深300指数,滚动市盈率(TTM):沪深300指数,市盈率:沪深300指数,沪深300指数:换手率,静态市盈率:沪深300指数,沪深300:成交金额,市净率:沪深300指数,中国:沪深300:资金净主动买入额,期货收盘价(活跃合约):沪深300指数期货,沪深300指数:涨跌幅,沪深300:成交量,期货收盘价(连续):沪深300指数期货,期货成交量:沪深300指数期货,期货持仓量:沪深300指数期货,沪深300指数:涨跌点数
频率,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日
单位,点,点,倍,倍,%,倍,亿元,倍,亿元,点,%,亿股,点,手,手,点
指标ID,M0020209,M0020209,M0342074,M0330172,M0331172,M0342073,M0020213,M0342075,M0062054,M0066367,M0020215,M0020212,M0061651,M0086454,M0086456,M0020214
时间区间,2002-01-04:2026-01-13,2002-01-04:2026-01-13,2005-04-08:2026-01-13,2011-07-14:2026-01-12,2005-04-08:2026-01-13,2005-04-08:2026-01-13,2005-01-04:2026-01-13,2005-04-08:2026-01-13,2008-08-19:2026-01-13,2010-04-16:2026-01-13,2002-01-07:2026-01-13,2005-01-04:2026-01-13,2010-04-16:2026-01-13,2006-10-30:2026-01-13,2006-10-30:2026-01-13,2002-01-07:2026-01-13
来源,上海证券交易所,上海证券交易所,Wind,中证指数公司,Wind,Wind,上海证券交易所,Wind,Wind,中国金融期货交易所,上海证券交易所,上海证券交易所,中国金融期货交易所,中国金融期货交易所,中国金融期货交易所,上海证券交易所
2002-01-04,1316.455,1316.455,,,,,,,,,,,,,,
2002-01-07,1302.084,1302.084,,,,,,,,,-1.091644,,,,,-14.371
2002-01-08,1292.714,1292.714,,,,,,,,,-0.719616,,,,,-9.37
2002-01-09,1272.645,1272.645,,,,,,,,,-1.55247,,,,,-20.069
2002-01-10,1281.261,1281.261,,,,,,,,,0.677015,,,,,8.616
2002-01-11,1249.814,1249.814,,,,,,,,,-2.454379,,,,,-31.447
2002-01-14,1205.146,1205.146,,,,,,,,,-3.573972,,,,,-44.668
2002-01-15,1186.433,1186.433,,,,,,,,,-1.552758,,,,,-18.713
2002-01-16,1201.877,1201.877,,,,,,,,,1.301717,,,,,15.444
2002-01-17,1152.148,1152.148,,,,,,,,,-4.137611,,,,,-49.729
2002-01-18,1149.483,1149.483,,,,,,,,,-0.231307,,,,,-2.665
2002-01-21,1108.61,1108.61,,,,,,,,,-3.555772,,,,,-40.873
2002-01-22,1109.994,1109.994,,,,,,,,,0.124841,,,,,1.384
2002-01-23,1183.154,1183.154,,,,,,,,,6.591027,,,,,73.16
2002-01-24,1189.583,1189.583,,,,,,,,,0.543378,,,,,6.429
2002-01-25,1189.428,1189.428,,,,,,,,,-0.01303,,,,,-0.155
2002-01-28,1112.835,1112.835,,,,,,,,,-6.439482,,,,,-76.593
2002-01-29,1140.377,1140.377,,,,,,,,,2.47494,,,,,27.542
2002-01-30,1145.855,1145.855,,,,,,,,,0.480367,,,,,5.478
2002-01-31,1221.76,1221.76,,,,,,,,,6.624311,,,,,75.905
2002-02-01,1215.743,1215.743,,,,,,,,,-0.492486,,,,,-6.017
2002-02-04,1236.969,1236.969,,,,,,,,,1.745928,,,,,21.226
2002-02-05,1246.842,1246.842,,,,,,,,,0.798161,,,,,9.873
2002-02-06,1216.788,1216.788,,,,,,,,,-2.41041,,,,,-30.054
2002-02-07,1241.023,1241.023,,,,,,,,,1.991719,,,,,24.235
2002-02-08,1235.092,1235.092,,,,,,,,,-0.477912,,,,,-5.931
2002-02-25,1254.611,1254.611,,,,,,,,,1.580368,,,,,19.519
2002-02-26,1253.121,1253.121,,,,,,,,,-0.118762,,,,,-1.49
2002-02-27,1255.997,1255.997,,,,,,,,,0.229507,,,,,2.876
2002-02-28,1244.603,1244.603,,,,,,,,,-0.907168,,,,,-11.394
2002-03-01,1227.229,1227.229,,,,,,,,,-1.395947,,,,,-17.374
2002-03-04,1245.867,1245.867,,,,,,,,,1.518706,,,,,18.638
2002-03-05,1275.614,1275.614,,,,,,,,,2.387655,,,,,29.747
2002-03-06,1288.444,1288.444,,,,,,,,,1.00579,,,,,12.83
2002-03-07,1328.388,1328.388,,,,,,,,,3.100174,,,,,39.944
2002-03-08,1351.854,1351.854,,,,,,,,,1.766502,,,,,23.466
2002-03-11,1377.037,1377.037,,,,,,,,,1.862849,,,,,25.183
2002-03-12,1362.404,1362.404,,,,,,,,,-1.062644,,,,,-14.633
2002-03-13,1343.138,1343.138,,,,,,,,,-1.414118,,,,,-19.266
2002-03-14,1376.329,1376.329,,,,,,,,,2.471153,,,,,33.191
2002-03-15,1338.702,1338.702,,,,,,,,,-2.733867,,,,,-37.627
2002-03-18,1341.907,1341.907,,,,,,,,,0.239411,,,,,3.205
2002-03-19,1368.378,1368.378,,,,,,,,,1.97264,,,,,26.471
2002-03-20,1382.417,1382.417,,,,,,,,,1.025959,,,,,14.039
2002-03-21,1385.79,1385.79,,,,,,,,,0.243993,,,,,3.373
2002-03-22,1369.901,1369.901,,,,,,,,,-1.146566,,,,,-15.889
2002-03-25,1373.012,1373.012,,,,,,,,,0.227097,,,,,3.111
2002-03-26,1350.009,1350.009,,,,,,,,,-1.675368,,,,,-23.003
2002-03-27,1354.098,1354.098,,,,,,,,,0.302887,,,,,4.089
2002-03-28,1352.533,1352.533,,,,,,,,,-0.115575,,,,,-1.565
2002-03-29,1313.466,1313.466,,,,,,,,,-2.888432,,,,,-39.067
2002-04-01,1317.579,1317.579,,,,,,,,,0.313141,,,,,4.113
2002-04-02,1296.574,1296.574,,,,,,,,,-1.594212,,,,,-21.005
2002-04-03,1302.248,1302.248,,,,,,,,,0.437615,,,,,5.674
2002-04-04,1337.728,1337.728,,,,,,,,,2.724519,,,,,35.48
2002-04-05,1332.201,1332.201,,,,,,,,,-0.413163,,,,,-5.527
2002-04-08,1333.705,1333.705,,,,,,,,,0.112896,,,,,1.504
2002-04-09,1357.742,1357.742,,,,,,,,,1.802273,,,,,24.037
2002-04-10,1366.716,1366.716,,,,,,,,,0.66095,,,,,8.974
2002-04-11,1344.734,1344.734,,,,,,,,,-1.608381,,,,,-21.982
2002-04-12,1350.689,1350.689,,,,,,,,,0.442839,,,,,5.955
2002-04-15,1344.581,1344.581,,,,,,,,,-0.452214,,,,,-6.108
2002-04-16,1341.502,1341.502,,,,,,,,,-0.228993,,,,,-3.079
2002-04-17,1341.766,1341.766,,,,,,,,,0.019679,,,,,0.264
2002-04-18,1326.546,1326.546,,,,,,,,,-1.134326,,,,,-15.22
2002-04-19,1330.642,1330.642,,,,,,,,,0.308772,,,,,4.096
2002-04-22,1324.867,1324.867,,,,,,,,,-0.434001,,,,,-5.775
2002-04-23,1318.661,1318.661,,,,,,,,,-0.468424,,,,,-6.206
2002-04-24,1309.727,1309.727,,,,,,,,,-0.677505,,,,,-8.934
2002-04-25,1312.483,1312.483,,,,,,,,,0.210426,,,,,2.756
2002-04-26,1331.714,1331.714,,,,,,,,,1.465238,,,,,19.231
2002-04-29,1349.785,1349.785,,,,,,,,,1.356973,,,,,18.071
2002-04-30,1353.607,1353.607,,,,,,,,,0.283156,,,,,3.822
2002-05-08,1342.292,1342.292,,,,,,,,,-0.835915,,,,,-11.315
2002-05-09,1344.783,1344.783,,,,,,,,,0.185578,,,,,2.491
2002-05-10,1335.451,1335.451,,,,,,,,,-0.693941,,,,,-9.332
2002-05-13,1319.814,1319.814,,,,,,,,,-1.170915,,,,,-15.637
2002-05-14,1311.68,1311.68,,,,,,,,,-0.616299,,,,,-8.134
2002-05-15,1300.119,1300.119,,,,,,,,,-0.881389,,,,,-11.561
2002-05-16,1261.522,1261.522,,,,,,,,,-2.968728,,,,,-38.597
2002-05-17,1277.235,1277.235,,,,,,,,,1.245559,,,,,15.713
2002-05-20,1258.829,1258.829,,,,,,,,,-1.441082,,,,,-18.406
2002-05-21,1298.878,1298.878,,,,,,,,,3.181449,,,,,40.049
2002-05-22,1280.16,1280.16,,,,,,,,,-1.44109,,,,,-18.718
2002-05-23,1284.836,1284.836,,,,,,,,,0.365267,,,,,4.676
2002-05-24,1265.966,1265.966,,,,,,,,,-1.46867,,,,,-18.87
2002-05-27,1270.336,1270.336,,,,,,,,,0.345191,,,,,4.37
2002-05-28,1270.382,1270.382,,,,,,,,,0.003621,,,,,0.046
2002-05-29,1246.019,1246.019,,,,,,,,,-1.91777,,,,,-24.363
2002-05-30,1245.886,1245.886,,,,,,,,,-0.010674,,,,,-0.133
2002-05-31,1238.577,1238.577,,,,,,,,,-0.586651,,,,,-7.309
2002-06-03,1213.388,1213.388,,,,,,,,,-2.033705,,,,,-25.189
2002-06-04,1219.523,1219.523,,,,,,,,,0.505609,,,,,6.135
2002-06-05,1196.623,1196.623,,,,,,,,,-1.877783,,,,,-22.9
2002-06-06,1245.613,1245.613,,,,,,,,,4.094021,,,,,48.99
2002-06-07,1252.514,1252.514,,,,,,,,,0.554024,,,,,6.901
2002-06-10,1243.743,1243.743,,,,,,,,,-0.700272,,,,,-8.771
2002-06-11,1252.851,1252.851,,,,,,,,,0.732306,,,,,9.108
2002-06-12,1246.843,1246.843,,,,,,,,,-0.479546,,,,,-6.008
2002-06-13,1235.572,1235.572,,,,,,,,,-0.903963,,,,,-11.271
2002-06-14,1222.119,1222.119,,,,,,,,,-1.088807,,,,,-13.453
2002-06-17,1224.654,1224.654,,,,,,,,,0.207427,,,,,2.535
2002-06-18,1248.837,1248.837,,,,,,,,,1.97468,,,,,24.183
2002-06-19,1236.049,1236.049,,,,,,,,,-1.023993,,,,,-12.788
2002-06-20,1245.081,1245.081,,,,,,,,,0.730715,,,,,9.032
2002-06-21,1288.522,1288.522,,,,,,,,,3.48901,,,,,43.441
2002-06-24,1409.505,1409.505,,,,,,,,,9.389285,,,,,120.983
2002-06-25,1409.226,1409.226,,,,,,,,,-0.019794,,,,,-0.279
2002-06-26,1417.307,1417.307,,,,,,,,,0.573435,,,,,8.081
2002-06-27,1422.512,1422.512,,,,,,,,,0.367246,,,,,5.205
2002-06-28,1431.175,1431.175,,,,,,,,,0.608993,,,,,8.663
2002-07-01,1415.33,1415.33,,,,,,,,,-1.107132,,,,,-15.845
2002-07-02,1425.814,1425.814,,,,,,,,,0.740746,,,,,10.484
2002-07-03,1427.39,1427.39,,,,,,,,,0.110533,,,,,1.576
2002-07-04,1412.617,1412.617,,,,,,,,,-1.034966,,,,,-14.773
2002-07-05,1415.403,1415.403,,,,,,,,,0.197223,,,,,2.786
2002-07-08,1423.696,1423.696,,,,,,,,,0.585911,,,,,8.293
2002-07-09,1419.471,1419.471,,,,,,,,,-0.296763,,,,,-4.225
2002-07-10,1392.901,1392.901,,,,,,,,,-1.871824,,,,,-26.57
