国家,中国,中国,中国,中国,中国,中国
指标名称,湖北:成交均价:碳排放权(HBEA),湖北:当日成交量:碳排放权(HBEA),湖北:收盘价:碳排放权(HBEA),湖北:累计成交量:碳排放权(HBEA),湖北:累计成交额:碳排放权(HBEA),湖北:当日成交额:碳排放权(HBEA)
频率,日,日,日,日,日,日
单位,元/吨,吨,元/吨,吨,元,元
指标ID,S6324389,S6324390,S6324388,S6324392,S6324393,S6324391
时间区间,2014-04-28:2026-01-12,2014-04-28:2026-01-12,2014-04-28:2026-01-12,2014-04-28:2026-01-12,2014-04-28:2026-01-12,2014-04-28:2026-01-12
来源,湖北碳排放权交易中心,湖北碳排放权交易中心,湖北碳排放权交易中心,湖北碳排放权交易中心,湖北碳排放权交易中心,湖北碳排放权交易中心
2022-02-11,49.88,26051,50.1,78202672,1.84183111799E9,1299533.98
2022-02-14,50.77,13999,53,78216671,1.84254178905E9,710671.06
2022-02-15,53.36,28393,54.01,78245064,1.84405678627E9,1514997.22
2022-02-16,53.27,12461,53.32,78257525,1.84472061471E9,663828.44
2022-02-17,52.45,6598,52.77,78264123,1.84506669862E9,346083.91
2022-02-18,54.14,13320,53,78277443,1.84578789652E9,721197.9
2022-02-21,51.82,6037,52.69,78283480,1.84610075353E9,312857.01
2022-02-22,51.64,4218,51.76,78287698,1.84631855941E9,217805.88
2022-02-23,51.65,2202,51.64,78289900,1.84643228517E9,113725.76
2022-02-24,51.69,5459,51.76,78295359,1.84671444529E9,282160.12
2022-02-25,51.74,5055,51.69,78300414,1.84697601084E9,261565.55
2022-02-28,51.26,14478,51.48,78314892,1.84771816478E9,742153.94
2022-03-01,50.28,16130,50.5,78331022,1.84852924348E9,811078.7
2022-03-02,50.13,11256,50.54,78342278,1.8490935614E9,564317.92
2022-03-03,49.21,31508,49.11,78373786,1.85064398195E9,1550420.55
2022-03-04,48,11774,49.3,78385560,1.85120911931E9,565137.36
2022-03-07,47.66,19663,47.4,78405223,1.85214619307E9,937073.76
2022-03-08,47.18,3320,47.29,78408543,1.85230281605E9,156622.98
2022-03-09,47.61,12818,48.22,78421361,1.85291303865E9,610222.6
2022-03-10,48.07,7319,47.2,78428680,1.8532648499E9,351811.25
